id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#0000FF,#00FFFF,#00caff,87,4,Blue     
57113b7f16c4b,twoColorsObj,#0000FF,#00FFFF,#00caff,92,5,Blue     
