id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc2b8a642,twoColorsObj,#0000FF,#00FFFF,#0080FF,186,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5710cc5a7829c,twoColorsObj,#0000FF,#00FFFF,#0080FF,95,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5710cd99df604,twoColorsObj,#0000FF,#00FFFF,#008080,104,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
5710ce6c1308c,twoColorsObj,#0000FF,#00FFFF,#00acff,55,5,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5710ce96dd6a3,twoColorsObj,#0000FF,#00FFFF,#00acff,71,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5710ceb320fdf,twoColorsObj,#0000FF,#00FFFF,#0000FF,250,3,Navy-Blue,0,0,0.07,0.04,0,0.06
5710cf445718e,twoColorsObj,#0000FF,#00FFFF,#8000FF,124,2,NA       ,0.05,0.05,0.05,0.04,0.05,0.01
5710d140b7c5a,twoColorsObj,#0000FF,#00FFFF,#00caff,103,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5710d28fec2d1,twoColorsObj,#0000FF,#00FFFF,#008080,324,1,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
5710d71ff24c3,twoColorsObj,#0000FF,#00FFFF,#00acff,181,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5710d9dcc23f0,twoColorsObj,#0000FF,#00FFFF,#0080FF,47,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5710dc0f49c60,twoColorsObj,#0000FF,#00FFFF,#0080FF,94,3,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5710dc97aac05,twoColorsObj,#0000FF,#00FFFF,#0080FF,118,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5710e540a9514,twoColorsObj,#0000FF,#00FFFF,#80FF00,147,4,DK-Green ,0.37,0.37,0.3,0.32,0.37,0.31
5710e5bc55564,twoColorsObj,#0000FF,#00FFFF,#00caff,94,4,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5710e60f69205,twoColorsObj,#0000FF,#00FFFF,#0000FF,392,3,Navy-Blue,0,0,0.07,0.04,0,0.06
57110028bc74b,twoColorsObj,#0000FF,#00FFFF,#5792ff,107,3,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
571103343658b,twoColorsObj,#0000FF,#00FFFF,#0080FF,93,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5711106ab212a,twoColorsObj,#0000FF,#00FFFF,#008080,74,3,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
57111f6c42412,twoColorsObj,#0000FF,#00FFFF,#5792ff,136,4,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
57112a657ac25,twoColorsObj,#0000FF,#00FFFF,#0080FF,70,2,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112b9e10661,twoColorsObj,#0000FF,#00FFFF,#00caff,70,2,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57112cec29456,twoColorsObj,#0000FF,#00FFFF,#00caff,468,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57112d8509632,twoColorsObj,#0000FF,#00FFFF,#0080FF,121,2,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112da850667,twoColorsObj,#0000FF,#00FFFF,#0080FF,91,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112db321110,twoColorsObj,#0000FF,#00FFFF,#00caff,102,5,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57112e1a2bbbb,twoColorsObj,#0000FF,#00FFFF,#8080FF,581,0,NA       ,0.11,0.11,0.05,0.07,0.11,0.05
57112ebc85ba1,twoColorsObj,#0000FF,#00FFFF,#00acff,134,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57112efa50be6,twoColorsObj,#0000FF,#00FFFF,#00acff,193,5,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57112f57403ee,twoColorsObj,#0000FF,#00FFFF,#008080,66,2,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
571130c5cd6e9,twoColorsObj,#0000FF,#00FFFF,#0080FF,336,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571130d934bda,twoColorsObj,#0000FF,#00FFFF,#00acff,89,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57113163e6fb1,twoColorsObj,#0000FF,#00FFFF,#00acff,38,5,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5711338142ff8,twoColorsObj,#0000FF,#00FFFF,#00acff,150,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5711348e42f02,twoColorsObj,#0000FF,#00FFFF,#0080FF,124,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571137a34931a,twoColorsObj,#0000FF,#00FFFF,#00caff,338,2,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5711389736065,twoColorsObj,#0000FF,#00FFFF,#00caff,330,1,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57113ce1334e0,twoColorsObj,#0000FF,#00FFFF,#00acff,174,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57113d4d93c81,twoColorsObj,#0000FF,#00FFFF,#0080FF,257,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57113de4aed1a,twoColorsObj,#0000FF,#00FFFF,#00ffb7,215,3,NA       ,0.27,0.27,0.2,0.23,0.27,0.22
57113e6176346,twoColorsObj,#0000FF,#00FFFF,#0080FF,63,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571153ca15566,twoColorsObj,#0000FF,#00FFFF,#0080FF,66,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571154184c9bd,twoColorsObj,#0000FF,#00FFFF,#00acff,6,1,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5711641931da5,twoColorsObj,#0000FF,#00FFFF,#008080,78,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
571165992a5c1,twoColorsObj,#0000FF,#00FFFF,#00acff,89,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57116b9b879bf,twoColorsObj,#0000FF,#00FFFF,#FFFFFF,357,4,NA       ,0.23,0.23,0.17,0.2,0.23,0.18
5711703bd85fc,twoColorsObj,#0000FF,#00FFFF,#8080FF,1,2,NA       ,0.11,0.11,0.05,0.07,0.11,0.05
57117b1840694,twoColorsObj,#0000FF,#00FFFF,#0080FF,238,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5711800f2c5f3,twoColorsObj,#0000FF,#00FFFF,#008080,109,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
571183866d73f,twoColorsObj,#0000FF,#00FFFF,#5792ff,128,5,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
57119224388ef,twoColorsObj,#0000FF,#00FFFF,#00FF80,19,5,NA       ,0.32,0.32,0.25,0.28,0.32,0.27
5711ace2ee7ed,twoColorsObj,#0000FF,#00FFFF,#0080FF,294,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5711cbde51bb0,twoColorsObj,#0000FF,#00FFFF,#008080,85,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
571214121717c,twoColorsObj,#0000FF,#00FFFF,#00caff,81,1,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5712197fbccd5,twoColorsObj,#0000FF,#00FFFF,#0080FF,59,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57123bec83e8e,twoColorsObj,#0000FF,#00FFFF,#0080FF,91,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57123e4050550,twoColorsObj,#0000FF,#00FFFF,#00caff,91,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
571245dfd5f63,twoColorsObj,#0000FF,#00FFFF,#00caff,575,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
571247f66fb51,twoColorsObj,#0000FF,#00FFFF,#00acff,145,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
571252e6d2e70,twoColorsObj,#0000FF,#00FFFF,#5792ff,309,4,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
571260c120253,twoColorsObj,#0000FF,#00FFFF,#00acff,142,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5712649f2fada,twoColorsObj,#0000FF,#00FFFF,#00caff,55,4,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57127bcfaafb0,twoColorsObj,#0000FF,#00FFFF,#00acff,100,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5712a254e00f7,twoColorsObj,#0000FF,#00FFFF,#0080FF,76,3,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
