id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5713923c1bbc7,24,Female,27,no,twoColorsObj,#0000FF,#00FFFF,#8000FF,688,2,NA       ,0.05,0.05,0.05,0.04,0.05,0.01
5713a02a13044,24,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#0000FF,91,3,Navy-Blue,0,0,0.07,0.04,0,0.06
5713dd915ca28,24,Female,20,no,twoColorsObj,#0000FF,#00FFFF,#5792ff,330,3,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
5713fc80c942a,23,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,82,5,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
571410751e7b0,22,Female,12,no,twoColorsObj,#0000FF,#00FFFF,#B000FF,135,3,NA       ,0.09,0.09,0.07,0.07,0.09,0.03
57149713464b1,51,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#FFFFFF,0,1,NA       ,0.23,0.23,0.17,0.2,0.23,0.18
5714d563c6e52,49,Female,13,no,twoColorsObj,#0000FF,#00FFFF,#00caff,199,2,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57153eb9b4bed,35,Female,31,no,twoColorsObj,#0000FF,#00FFFF,#00caff,199,5,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5716e9900f6ea,58,Female,31,no,twoColorsObj,#0000FF,#00FFFF,#00acff,232,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5734d89183dab,19,Female,29,no,twoColorsObj,#0000FF,#00FFFF,#00acff,186,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5739ff85289b2,56,Female,25,yes,twoColorsObj,#0000FF,#00FFFF,#9700FF,11,2,NA       ,0.07,0.07,0.05,0.05,0.07,0.02
573a059da0efd,31,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#00A4FF,39,3,Cyan     ,0.12,0.12,0.05,0.08,0.12,0.07
573c783748e8b,37,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#00A4FF,23,3,Cyan     ,0.12,0.12,0.05,0.08,0.12,0.07
573ec4275ba17,24,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#008DF8,22,3,Sky-Blue ,0.1,0.1,0.03,0.06,0.1,0.05
5740a8b59d448,31,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#006C84,705,4,Cyan     ,0.16,0.16,0.1,0.12,0.16,0.11
