Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.28,0.33,0.17,0.26,0.38,0.14,0.32,0.36,0.18,0.28,0.33,0.18,0.29,0.33,0.12
Online Users (Regular),0.23,0.25,0.07,0.34,0.37,0.18,0.3,0.32,0.14,0.25,0.27,0.1,0.26,0.26,0.05
Online Users (Uncalibrated),0.37,0.18,0.18,0.36,0.3,0.15,0.46,0.31,0.27,0.4,0.23,0.22,0.45,0.25,0.21
Users aged Less Than 20 Years,0.27,0.19,0.08,0.36,0.31,0.16,0.36,0.29,0.17,0.3,0.21,0.11,0.33,0.22,0.09
Users aged Between 20 and 29 Years,0.28,0.22,0.1,0.35,0.34,0.16,0.37,0.33,0.2,0.31,0.27,0.15,0.35,0.28,0.13
Users aged Between 30 and 39 Years,0.27,0.16,0.08,0.3,0.33,0.12,0.38,0.3,0.19,0.31,0.2,0.12,0.35,0.22,0.11
Users aged Between 40 and 49 Years,0.27,0.27,0.12,0.32,0.36,0.16,0.38,0.36,0.22,0.31,0.32,0.18,0.36,0.33,0.16
Users aged Between 50 and 59 Years,0.3,0.19,0.11,0.34,0.34,0.16,0.41,0.34,0.24,0.35,0.26,0.17,0.39,0.29,0.17
Users aged Above 60 Years,0.23,0.21,0.05,0.31,0.34,0.14,0.3,0.3,0.13,0.24,0.23,0.07,0.26,0.23,0.03
Female Users,0.27,0.21,0.08,0.35,0.34,0.16,0.37,0.32,0.19,0.3,0.25,0.13,0.34,0.27,0.11
Male Users,0.29,0.21,0.1,0.34,0.33,0.15,0.38,0.32,0.2,0.32,0.25,0.15,0.36,0.26,0.13
Other Gender Users,0.18,0.16,0.02,0.35,0.35,0.18,0.24,0.26,0.05,0.2,0.19,0.01,0.18,0.16,0.08
