id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#0080FF,244,0,476,4,Blue     ,Red      
57113b7f16c4b,objTwoColors,#0080FF,187,233,273,4,Cyan     ,Blue     
