id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#FF0000,7,10,82,5,Red      ,Red      
57113b7f16c4b,objTwoColors,#FF0000,351,350,212,1,Red      ,Red      
