id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5710cbe10cade,objTwoColors,#FF007F,307,340,142,3,Pink     ,Red      ,0.48,0.05,0.19,0.15,0.17,0.11,0.57,0.56,0.38,0.57,0.56,0.26,0.27,0.41,0.26
5710cc2b8a642,objTwoColors,#FF007F,312,339,366,4,Pink     ,Red      ,0.51,0.04,0.16,0.16,0.17,0.12,0.54,0.53,0.34,0.53,0.53,0.29,0.28,0.38,0.27
5710cd99df604,objTwoColors,#FF007F,10,322,474,3,Red      ,Magenta  ,0.82,0.12,0.13,0.19,0.23,0.17,0.12,0.11,0.09,0.11,0.11,0.6,0.6,0.41,0.59
5710ce6c1308c,objTwoColors,#FF007F,355,300,66,4,Red      ,Pink     ,0.9,0.02,0.14,0.16,0.19,0.13,0.05,0.06,0.23,0.07,0.06,0.68,0.68,0.5,0.68
5710cf445718e,objTwoColors,#FF007F,356,58,661,3,Red      ,Green    ,0.56,0.15,0.06,0.14,0.2,0.17,0.35,0.34,0.27,0.34,0.34,0.33,0.32,0.17,0.32
5710d71ff24c3,objTwoColors,#FF007F,3,275,209,3,Red      ,Blue     ,1,0.09,0.16,0.11,0.17,0.12,0.16,0.18,0.35,0.18,0.18,0.77,0.77,0.6,0.77
5710d9dcc23f0,objTwoColors,#FF007F,327,320,43,3,Magenta  ,Pink     ,0.66,0.05,0.06,0.16,0.17,0.11,0.27,0.27,0.27,0.27,0.27,0.43,0.42,0.32,0.42
5710dc97aac05,objTwoColors,#FF007F,353,254,428,1,Red      ,Blue     ,1.05,0.19,0.15,0.1,0.18,0.12,0.23,0.25,0.41,0.25,0.25,0.82,0.82,0.64,0.82
5710ea84d4c6f,objTwoColors,#FF007F,308,352,833,3,Pink     ,Red      ,0.5,0,0.22,0.16,0.19,0.14,0.63,0.63,0.44,0.63,0.63,0.27,0.28,0.42,0.27
571103343658b,objTwoColors,#FF007F,327,330,185,4,Magenta  ,Magenta  ,0.63,0.01,0.07,0.16,0.18,0.12,0.35,0.35,0.19,0.35,0.35,0.4,0.39,0.28,0.39
