id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#FF007F,342,0,1084,4,0.09,Red      
5713a02a13044,objTwoColors,#FF007F,343,0,150,3,0.1,Red      
573a059da0efd,objTwoColors,#FF007F,0,0,0,1,0.16,Red      
573c70dabcfe0,objTwoColors,#FF007F,348,0,535,2,0.13,Red      
573c783748e8b,objTwoColors,#FF007F,351,0,539,4,0.14,Red      
573e4022949b1,objTwoColors,#FF007F,333,0,151,5,0.02,Magenta  
573e4d0eb795b,objTwoColors,#FF007F,331,0,79,5,0.01,Magenta  
5740a8b59d448,objTwoColors,#FF007F,4,0,12,5,0.16,Red      
5740ad339507d,objTwoColors,#FF007F,347,0,111,2,0.12,Red      
5740b0f8e9734,objTwoColors,#FF007F,331,0,61,4,0.01,Magenta  
5740e3f36a945,objTwoColors,#FF007F,330,0,512,3,0,Magenta  
5756ab1701ba0,objTwoColors,#FF007F,342,0,217,5,0.09,Red      
5757fd2703090,objTwoColors,#FF007F,333,0,101,2,0.02,Magenta  
5757ffca0b4b1,objTwoColors,#FF007F,329,0,73,5,0.01,Magenta  
5710cc5a7829c,objTwoColors,#FF007F,334,0,115,4,0.03,Magenta  
5710ceb320fdf,objTwoColors,#FF007F,0,327,221,5,0.02,Magenta  
5710d140b7c5a,objTwoColors,#FF007F,17,0,230,3,0.15,Red      
5710d28fec2d1,objTwoColors,#FF007F,0,233,59,1,0.39,Blue     
5710e540a9514,objTwoColors,#FF007F,9,0,9,4,0.15,Red      
5710e60f69205,objTwoColors,#FF007F,342,0,713,2,0.09,Red      
5710ee3fd83e6,objTwoColors,#FF007F,0,328,119,5,0.02,Magenta  
57110028bc74b,objTwoColors,#FF007F,0,323,89,5,0.06,Magenta  
57111f6c42412,objTwoColors,#FF007F,331,0,107,5,0.01,Magenta  
571128aba60e2,objTwoColors,#FF007F,344,0,130,3,0.11,Red      
57112a657ac25,objTwoColors,#FF007F,329,0,63,3,0.01,Magenta  
57112ebc85ba1,objTwoColors,#FF007F,9,0,172,5,0.15,Red      
57112edad4a17,objTwoColors,#FF007F,2,0,55,4,0.16,Red      
571137a34931a,objTwoColors,#FF007F,7,0,45,2,0.16,Red      
57113b9642c48,objTwoColors,#FF007F,266,0,510,5,0.36,Blue     
57113d4d93c81,objTwoColors,#FF007F,348,0,73,4,0.13,Red      
57113e6176346,objTwoColors,#FF007F,0,308,288,2,0.16,Pink     
571154184c9bd,objTwoColors,#FF007F,13,0,72,1,0.15,Red      
5711641931da5,objTwoColors,#FF007F,5,0,295,2,0.16,Red      
571183866d73f,objTwoColors,#FF007F,357,0,223,5,0.16,Red      
5711ace2ee7ed,objTwoColors,#FF007F,8,0,30,5,0.16,Red      
5712197fbccd5,objTwoColors,#FF007F,0,301,294,2,0.2,Pink     
57122801e1da9,objTwoColors,#FF007F,343,0,169,2,0.1,Red      
57123e4050550,objTwoColors,#FF007F,344,0,169,3,0.11,Red      
571252e6d2e70,objTwoColors,#FF007F,1,0,61,5,0.16,Red      
571290e28820b,objTwoColors,#FF007F,7,0,132,5,0.16,Red      
5712a254e00f7,objTwoColors,#FF007F,0,344,368,3,0.11,Red      
5712bd55a8a13,objTwoColors,#FF007F,330,0,309,5,0,Magenta  
5713acb331c3c,objTwoColors,#FF007F,93,0,8,1,0.37,Green    
5713b10383207,objTwoColors,#FF007F,350,0,155,4,0.14,Red      
57153d9a56ce0,objTwoColors,#FF007F,0,320,157,5,0.08,Pink     
57153eb9b4bed,objTwoColors,#FF007F,0,1,202,5,0.16,Red      
5727635041e99,objTwoColors,#FF007F,350,0,240,5,0.14,Red      
5727e49793f7b,objTwoColors,#FF007F,0,304,217,4,0.18,Pink     
5735d3455a84c,objTwoColors,#FF007F,0,289,663,3,0.26,Navy-Blue
5738cf3d97a58,objTwoColors,#FF007F,3,0,1,4,0.16,Red      
57410611290e3,objTwoColors,#FF007F,357,0,121,3,0.16,Red      
57427cf6bad0c,objTwoColors,#FF007F,19,0,356,1,0.15,Red      
5744dce84ffa5,objTwoColors,#FF007F,353,0,161,2,0.15,Red      
57451c3b38192,objTwoColors,#FF007F,0,333,101,5,0.02,Magenta  
5745500f6e643,objTwoColors,#FF007F,342,0,206,4,0.09,Red      
5745f6f039dc9,objTwoColors,#FF007F,0,0,0,4,0.16,Red      
