id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#FF007F,326,331,984,5,Magenta  ,Magenta  
57113b7f16c4b,objTwoColors,#FF007F,3,208,119,3,Red      ,Navy-Blue
