id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF8000,321,55,87,5,Pink     ,Green    ,0.72,0.11,0.18,0.07,0.14,0.08,0.25,0.26,0.24,0.25,0.26
5711348e42f02,19,Female,32,no,objTwoColors,#FF8000,356,63,239,4,Red      ,Green    ,0.75,0,0.05,0.13,0.19,0.14,0.02,0.03,0.06,0.04,0.03
5711389736065,19,Female,8,no,objTwoColors,#FF8000,57,5,163,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.54,0.55
57113d4d93c81,18,Female,32,no,objTwoColors,#FF8000,57,6,40,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.54,0.55
5711703bd85fc,18,Female,32,no,objTwoColors,#FF8000,3,58,53,5,Red      ,Green    ,0.75,0,0.05,0.14,0.19,0.15,0.01,0.02,0.04,0.02,0.02
5711e54c50f6b,19,Male,4,no,objTwoColors,#FF8000,33,0,283,5,Orange   ,Red      ,0.6,0.08,0.15,0.19,0.25,0.2,0.42,0.43,0.38,0.41,0.43
57127cb3ab1fe,1,Male,12,no,objTwoColors,#FF8000,31,0,31,5,Orange   ,Red      ,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
5712a254e00f7,18,Female,18,no,objTwoColors,#FF8000,0,49,33,3,Red      ,Green    ,0.73,0.03,0.05,0.16,0.22,0.16,0.05,0.05,0.03,0.04,0.05
5734d89183dab,19,Female,29,no,objTwoColors,#FF8000,53,10,77,4,Green    ,Red      ,0.48,0.01,0.25,0.14,0.19,0.15,0.51,0.52,0.47,0.51,0.52
5736048bb110b,19,Male,32,no,objTwoColors,#FF8000,28,31,62,5,Orange   ,Orange   ,0.6,0,0.12,0.16,0.21,0.17,0.26,0.27,0.22,0.26,0.27
573634984323e,19,Male,32,no,objTwoColors,#FF8000,17,55,135,4,Red      ,Green    ,0.7,0.04,0.07,0.14,0.18,0.14,0.07,0.07,0.06,0.06,0.07
57366c199283c,19,Male,32,no,objTwoColors,#FF8000,51,31,52,5,Green    ,Orange   ,0.47,0.07,0.24,0.14,0.17,0.13,0.39,0.4,0.35,0.39,0.4
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF8000,4,57,152,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
5744dce84ffa5,16,Male,13,no,objTwoColors,#FF8000,57,11,230,4,Green    ,Red      ,0.46,0.03,0.27,0.14,0.19,0.15,0.53,0.53,0.49,0.52,0.53
574511e99b6d9,19,Female,32,no,objTwoColors,#FF8000,13,50,72,4,Red      ,Green    ,0.7,0.01,0.06,0.15,0.2,0.15,0.07,0.07,0.03,0.07,0.07
5745350dc1e22,19,Female,31,no,objTwoColors,#FF8000,3,52,426,5,Red      ,Green    ,0.73,0.02,0.05,0.15,0.21,0.16,0.03,0.04,0.02,0.03,0.04
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF8000,0,0,0,2,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
