id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF8000,55,5,258,5,Green    ,Red      ,0.47,0,0.26,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF8000,64,10,275,3,Green    ,Red      ,0.43,0.04,0.29,0.13,0.18,0.14,0.56,0.56,0.52,0.55,0.56
571210e10d88b,23,Male,19,no,objTwoColors,#FF8000,32,0,161,5,Orange   ,Red      ,0.61,0.08,0.15,0.19,0.26,0.21,0.42,0.42,0.38,0.4,0.42
571214121717c,22,Male,32,no,objTwoColors,#FF8000,57,7,254,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.53,0.55
5712197fbccd5,24,Female,32,no,objTwoColors,#FF8000,1,48,168,4,Red      ,Green    ,0.73,0.03,0.05,0.16,0.22,0.17,0.05,0.06,0.03,0.05,0.06
57121e2a63601,21,Male,31,no,objTwoColors,#FF8000,0,0,0,2,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
57123bec83e8e,21,Male,32,no,objTwoColors,#FF8000,7,0,54,4,Red      ,Red      ,0.73,0.12,0.05,0.23,0.29,0.26,0.29,0.3,0.26,0.28,0.3
57123e4050550,20,Female,40,no,objTwoColors,#FF8000,4,59,449,4,Red      ,Green    ,0.75,0.01,0.05,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
571245f0af12d,21,Male,3,no,objTwoColors,#FF8000,21,56,212,3,Red      ,Green    ,0.67,0.05,0.09,0.13,0.17,0.14,0.08,0.08,0.08,0.08,0.08
571247f66fb51,27,Male,32,no,objTwoColors,#FF8000,4,56,164,3,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
571260c120253,22,Male,32,no,objTwoColors,#FF8000,9,54,38,3,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.04,0.04,0.02,0.03,0.04
57126595532de,22,Male,1,no,objTwoColors,#FF8000,55,11,40,2,Green    ,Red      ,0.47,0.02,0.26,0.14,0.19,0.15,0.52,0.52,0.48,0.51,0.52
57127bcfaafb0,22,Female,32,no,objTwoColors,#FF8000,4,55,82,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF8000,10,59,61,3,Red      ,Green    ,0.73,0.03,0.05,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5712c2b021f58,22,Female,32,no,objTwoColors,#FF8000,58,3,81,5,Green    ,Red      ,0.46,0,0.27,0.14,0.19,0.15,0.55,0.55,0.51,0.54,0.55
5712c57f97f25,25,Female,31,no,objTwoColors,#FF8000,3,49,34,4,Red      ,Green    ,0.73,0.03,0.05,0.15,0.21,0.16,0.05,0.05,0.03,0.04,0.05
5713923c1bbc7,24,Female,27,no,objTwoColors,#FF8000,18,42,463,3,Red      ,Yellow   ,0.67,0,0.08,0.15,0.2,0.16,0.13,0.14,0.09,0.13,0.14
5713a02a13044,24,Female,32,yes,objTwoColors,#FF8000,12,59,64,4,Red      ,Green    ,0.73,0.03,0.06,0.13,0.18,0.14,0.03,0.04,0.05,0.05,0.04
5713dd915ca28,24,Female,20,no,objTwoColors,#FF8000,29,0,217,3,Orange   ,Red      ,0.63,0.09,0.13,0.19,0.26,0.21,0.4,0.4,0.36,0.38,0.4
5713fc80c942a,23,Female,32,no,objTwoColors,#FF8000,14,55,46,5,Red      ,Green    ,0.71,0.03,0.06,0.14,0.19,0.15,0.05,0.06,0.04,0.05,0.06
572767049ccfa,24,Male,32,yes,objTwoColors,#FF7200,57,355,207,5,Green    ,Red      ,0.46,0.03,0.27,0.14,0.2,0.15,0.55,0.55,0.51,0.54,0.55
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF8000,7,57,100,5,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.02,0.03,0.03,0.03,0.03
5734918f46823,26,Male,32,no,objTwoColors,#FF8000,58,89,151,2,Green    ,Green    ,0.54,0.21,0.27,0.12,0.18,0.16,0.38,0.39,0.4,0.4,0.39
5734aa4c927a8,22,Male,15,no,objTwoColors,#FF8000,14,59,132,4,Red      ,Green    ,0.72,0.04,0.06,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
5735d3455a84c,29,Male,32,no,objTwoColors,#FF8000,7,58,49,5,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.15,0.02,0.03,0.04,0.03,0.03
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF8000,7,54,45,4,Red      ,Green    ,0.73,0,0.05,0.14,0.2,0.15,0.03,0.04,0.02,0.03,0.04
573a0b8280839,29,Male,21,yes,objTwoColors,#FF7200,55,0,9,3,Green    ,Red      ,0.48,0.02,0.26,0.14,0.2,0.15,0.54,0.55,0.5,0.53,0.55
573e4022949b1,24,Male,32,yes,objTwoColors,#FF7200,1,55,192,5,Red      ,Green    ,0.74,0.01,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
