id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5712a47f6f8a6,44,Male,12,no,objTwoColors,#FF8000,59,67,9,2,Green    ,Yellow   ,0.48,0.17,0.27,0.12,0.17,0.14,0.31,0.31,0.33,0.32,0.31
5713b10383207,40,Male,32,no,objTwoColors,#FF8000,4,0,424,3,Red      ,Red      ,0.74,0.12,0.05,0.24,0.29,0.26,0.28,0.29,0.26,0.27,0.29
5713b961c216a,647,Male,11,no,objTwoColors,#FF8000,0,0,0,3,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
57190633f233f,30,Male,32,no,objTwoColors,#FF8000,5,59,132,4,Red      ,Green    ,0.75,0.01,0.05,0.14,0.19,0.15,0.01,0.02,0.04,0.03,0.02
572767049ccfa,24,Male,32,yes,objTwoColors,#FF7200,57,355,207,5,Green    ,Red      ,0.46,0.03,0.27,0.14,0.2,0.15,0.55,0.55,0.51,0.54,0.55
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF8000,7,57,100,5,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.02,0.03,0.03,0.03,0.03
5734918f46823,26,Male,32,no,objTwoColors,#FF8000,58,89,151,2,Green    ,Green    ,0.54,0.21,0.27,0.12,0.18,0.16,0.38,0.39,0.4,0.4,0.39
5734aa4c927a8,22,Male,15,no,objTwoColors,#FF8000,14,59,132,4,Red      ,Green    ,0.72,0.04,0.06,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
5735d3455a84c,29,Male,32,no,objTwoColors,#FF8000,7,58,49,5,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.15,0.02,0.03,0.04,0.03,0.03
5736048bb110b,19,Male,32,no,objTwoColors,#FF8000,28,31,62,5,Orange   ,Orange   ,0.6,0,0.12,0.16,0.21,0.17,0.26,0.27,0.22,0.26,0.27
573634984323e,19,Male,32,no,objTwoColors,#FF8000,17,55,135,4,Red      ,Green    ,0.7,0.04,0.07,0.14,0.18,0.14,0.07,0.07,0.06,0.06,0.07
573664e1a4a96,49,Male,18,no,objTwoColors,#FF8000,353,57,96,5,Red      ,Green    ,0.74,0.03,0.06,0.14,0.2,0.14,0.02,0.03,0.03,0.03,0.03
57366c199283c,19,Male,32,no,objTwoColors,#FF8000,51,31,52,5,Green    ,Orange   ,0.47,0.07,0.24,0.14,0.17,0.13,0.39,0.4,0.35,0.39,0.4
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF8000,7,54,45,4,Red      ,Green    ,0.73,0,0.05,0.14,0.2,0.15,0.03,0.04,0.02,0.03,0.04
573a0b8280839,29,Male,21,yes,objTwoColors,#FF7200,55,0,9,3,Green    ,Red      ,0.48,0.02,0.26,0.14,0.2,0.15,0.54,0.55,0.5,0.53,0.55
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF7200,142,73,568,3,Green    ,Yellow   ,0.41,0.3,0.38,0.09,0.19,0.18,0.47,0.48,0.49,0.49,0.48
573e4022949b1,24,Male,32,yes,objTwoColors,#FF7200,1,55,192,5,Red      ,Green    ,0.74,0.01,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF7200,151,356,141,3,Teal     ,Red      ,0.42,0.21,0.36,0.08,0.07,0.09,0.68,0.68,0.64,0.67,0.68
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF7200,28,30,88,5,Orange   ,Brown    ,0.6,0.01,0.12,0.16,0.21,0.17,0.27,0.27,0.23,0.26,0.27
573edae85268b,27,Male,32,yes,objTwoColors,#FF7200,2,43,228,4,Red      ,Yellow   ,0.72,0.05,0.05,0.16,0.23,0.18,0.08,0.08,0.06,0.07,0.08
5740ad339507d,40,Male,32,yes,objTwoColors,#FF7200,7,0,5,3,Red      ,Red      ,0.73,0.12,0.05,0.23,0.29,0.26,0.29,0.3,0.26,0.28,0.3
5740b0f8e9734,62,Male,33,yes,objTwoColors,#FF7200,26,0,17,5,Orange   ,Red      ,0.64,0.09,0.11,0.2,0.27,0.22,0.38,0.38,0.34,0.36,0.38
5740b686127bb,32,Male,32,yes,objTwoColors,#FF7200,3,57,55,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
574297edae49c,24,Male,32,no,objTwoColors,#FF8000,8,59,43,5,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.14,0.01,0.03,0.04,0.04,0.03
5744dce84ffa5,16,Male,13,no,objTwoColors,#FF8000,57,11,230,4,Green    ,Red      ,0.46,0.03,0.27,0.14,0.19,0.15,0.53,0.53,0.49,0.52,0.53
57459c393bbd0,29,Male,31,no,objTwoColors,#FF8000,10,59,93,4,Red      ,Green    ,0.73,0.03,0.05,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF8000,0,0,0,4,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
574628a9e94a1,18,Male,4,no,objTwoColors,#FF8000,191,161,1209,2,Sky-Blue ,Green    ,0.62,0.32,0.26,0.1,0.1,0.15,0.62,0.63,0.63,0.64,0.63
574859b8f3379,30,Male,32,yes,objTwoColors,#FF7200,355,55,401,4,Red      ,Green    ,0.74,0.03,0.05,0.14,0.2,0.15,0.03,0.03,0.03,0.03,0.03
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF7200,3,70,199,5,Red      ,Yellow   ,0.77,0.04,0.05,0.12,0.18,0.14,0.04,0.06,0.08,0.07,0.06
5756ae6897296,21,Male,32,yes,objTwoColors,#FF7200,59,38,424,4,Green    ,Yellow   ,0.43,0.11,0.27,0.13,0.16,0.13,0.39,0.38,0.35,0.37,0.38
5757fd2703090,22,Male,32,yes,objTwoColors,#FF8000,2,59,90,5,Red      ,Green    ,0.75,0,0.05,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF8000,2,52,52,4,Red      ,Green    ,0.73,0.02,0.05,0.15,0.21,0.16,0.03,0.04,0.02,0.03,0.04
57581518c2c07,25,Male,32,yes,objTwoColors,#FF8000,55,353,144,4,Green    ,Red      ,0.46,0.04,0.26,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF8000,11,56,103,4,Red      ,Green    ,0.72,0.02,0.05,0.14,0.19,0.15,0.03,0.04,0.03,0.04,0.04
