id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#FF8000,57,7,796,4,Green    ,Red      
57113b7f16c4b,objTwoColors,#FF8000,64,10,196,5,Green    ,Red      
