id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5710cbe10cade,objTwoColors,#FF8000,18,48,176,4,Red      ,Green    ,0.68,0.02,0.07,0.14,0.19,0.15,0.1,0.11,0.06,0.1,0.11
5710ce6c1308c,objTwoColors,#FF8000,13,58,111,5,Red      ,Green    ,0.72,0.03,0.06,0.14,0.18,0.14,0.04,0.04,0.05,0.05,0.04
5710cf445718e,objTwoColors,#FF8000,128,188,204,1,Green    ,Cyan     ,0.2,0.29,0.4,0.09,0.13,0.13,0.73,0.75,0.74,0.75,0.75
5710d140b7c5a,objTwoColors,#FF8000,7,59,156,3,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.15,0.01,0.03,0.04,0.04,0.03
5710d71ff24c3,objTwoColors,#FF8000,13,65,216,5,Red      ,Yellow   ,0.73,0.06,0.06,0.12,0.17,0.14,0.05,0.06,0.07,0.08,0.06
5710d8d6aecd6,objTwoColors,#FF8000,4,57,41,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
5710e540a9514,objTwoColors,#FF8000,7,56,87,4,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.02,0.03,0.03,0.03,0.03
5710e60f69205,objTwoColors,#FF8000,54,7,239,4,Green    ,Red      ,0.47,0,0.25,0.14,0.2,0.15,0.53,0.53,0.49,0.51,0.53
5710ee55dcd72,objTwoColors,#FF8000,8,54,56,5,Red      ,Green    ,0.73,0.01,0.05,0.14,0.2,0.15,0.03,0.04,0.02,0.03,0.04
571103343658b,objTwoColors,#FF8000,32,30,44,5,Orange   ,Brown    ,0.58,0.01,0.15,0.15,0.2,0.16,0.3,0.29,0.26,0.28,0.29
5711106ab212a,objTwoColors,#FF8000,7,57,60,4,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.02,0.03,0.03,0.03,0.03
5711148c11035,objTwoColors,#FF8000,16,51,93,3,Red      ,Green    ,0.69,0.02,0.07,0.14,0.19,0.15,0.08,0.08,0.04,0.07,0.08
57112b9e10661,objTwoColors,#FF8000,22,58,39,2,Red      ,Green    ,0.68,0.06,0.09,0.13,0.17,0.14,0.08,0.09,0.09,0.09,0.09
57112d320ff16,objTwoColors,#FF8000,336,64,1365,4,Red      ,Green    ,0.73,0.06,0.11,0.08,0.16,0.1,0.13,0.14,0.15,0.15,0.14
57112d8509632,objTwoColors,#FF8000,5,54,46,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.03,0.03,0.02,0.02,0.03
