Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.52,0.43,0.03,0.45,0.35,0.13,0.49,0.42,0.13,0.51,0.42,0.17,0.5,0.43,0.13
Online Users (Regular),0.52,0.42,0.03,0.47,0.35,0.12,0.49,0.42,0.13,0.51,0.42,0.18,0.5,0.43,0.14
Online Users (Uncalibrated),0.59,0.37,0.06,0.47,0.35,0.11,0.54,0.39,0.17,0.57,0.38,0.23,0.56,0.39,0.18
Users aged Less Than 20 Years,0.54,0.39,0.02,0.45,0.35,0.13,0.51,0.4,0.14,0.53,0.39,0.19,0.52,0.4,0.14
Users aged Between 20 and 29 Years,0.54,0.4,0,0.46,0.35,0.12,0.51,0.41,0.14,0.54,0.4,0.2,0.53,0.42,0.15
Users aged Between 30 and 39 Years,0.55,0.4,0.01,0.54,0.35,0.05,0.52,0.4,0.15,0.54,0.4,0.2,0.54,0.41,0.16
Users aged Between 40 and 49 Years,0.56,0.4,0.02,0.49,0.35,0.1,0.53,0.39,0.16,0.55,0.39,0.21,0.55,0.4,0.17
Users aged Between 50 and 59 Years,0.52,0.42,0.03,0.44,0.34,0.15,0.49,0.4,0.12,0.51,0.4,0.17,0.51,0.4,0.13
Users aged Above 60 Years,0.56,0.39,0.02,0.51,0.36,0.08,0.53,0.4,0.16,0.56,0.4,0.21,0.55,0.4,0.17
Female Users,0.55,0.4,0.01,0.49,0.35,0.1,0.51,0.41,0.15,0.55,0.4,0.2,0.53,0.41,0.16
Male Users,0.54,0.4,0.01,0.46,0.35,0.12,0.51,0.4,0.14,0.53,0.41,0.19,0.52,0.41,0.15
Other Gender Users,0.64,0.33,0.12,0.55,0.35,0.05,0.61,0.33,0.24,0.64,0.33,0.3,0.64,0.33,0.27
