id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5710ee9e58646,objTwoColors,#FF8000,55,354,175,4,Green    ,Red      ,0.47,0.03,0.26,0.14,0.2,0.15,0.54,0.54,0.5,0.53,0.54
571151812791a,objTwoColors,#FF8000,11,62,145,3,Red      ,Green    ,0.73,0.04,0.05,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
5713a02a13044,objTwoColors,#FF8000,12,59,64,4,Red      ,Green    ,0.73,0.03,0.06,0.13,0.18,0.14,0.03,0.04,0.05,0.05,0.04
572767049ccfa,objTwoColors,#FF8000,57,355,207,5,Green    ,Red      ,0.46,0.03,0.27,0.14,0.2,0.15,0.55,0.55,0.51,0.54,0.55
572c85675a5ef,objTwoColors,#FF8000,7,57,100,5,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.02,0.03,0.03,0.03,0.03
5739ff85289b2,objTwoColors,#FF8000,213,58,123,2,Blue     ,Green    ,0.81,0.3,0.25,0.03,0.06,0.05,0.52,0.52,0.53,0.52,0.52
573c70dabcfe0,objTwoColors,#FF8000,142,73,568,3,Green    ,Yellow   ,0.41,0.3,0.38,0.09,0.19,0.18,0.47,0.48,0.49,0.49,0.48
573c783748e8b,objTwoColors,#FF8000,348,59,106,3,Red      ,Green    ,0.74,0.04,0.07,0.13,0.19,0.13,0.03,0.05,0.05,0.06,0.05
573e4022949b1,objTwoColors,#FF8000,1,55,192,5,Red      ,Green    ,0.74,0.01,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
573e47c26cb8e,objTwoColors,#FF8000,151,356,141,3,Teal     ,Red      ,0.42,0.21,0.36,0.08,0.07,0.09,0.68,0.68,0.64,0.67,0.68
573e4d0eb795b,objTwoColors,#FF8000,28,30,88,5,Orange   ,Brown    ,0.6,0.01,0.12,0.16,0.21,0.17,0.27,0.27,0.23,0.26,0.27
573edae85268b,objTwoColors,#FF8000,2,43,228,4,Red      ,Yellow   ,0.72,0.05,0.05,0.16,0.23,0.18,0.08,0.08,0.06,0.07,0.08
5740a8b59d448,objTwoColors,#FF8000,5,55,80,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.03,0.03,0.03,0.02,0.03
5740b686127bb,objTwoColors,#FF8000,3,57,55,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
5740bda9be3dc,objTwoColors,#FF8000,9,50,45,5,Red      ,Green    ,0.72,0,0.05,0.15,0.2,0.16,0.06,0.06,0.02,0.05,0.06
574859b8f3379,objTwoColors,#FF8000,355,55,401,4,Red      ,Green    ,0.74,0.03,0.05,0.14,0.2,0.15,0.03,0.03,0.03,0.03,0.03
5756ab1701ba0,objTwoColors,#FF8000,3,70,199,5,Red      ,Yellow   ,0.77,0.04,0.05,0.12,0.18,0.14,0.04,0.06,0.08,0.07,0.06
5756ae6897296,objTwoColors,#FF8000,59,38,424,4,Green    ,Yellow   ,0.43,0.11,0.27,0.13,0.16,0.13,0.39,0.38,0.35,0.37,0.38
5756b2d9bd658,objTwoColors,#FF8000,55,356,183,5,Green    ,Red      ,0.47,0.03,0.26,0.14,0.2,0.15,0.54,0.54,0.5,0.53,0.54
5757fd2703090,objTwoColors,#FF8000,2,59,90,5,Red      ,Green    ,0.75,0,0.05,0.14,0.19,0.15,0,0.02,0.04,0.03,0.02
5757ffca0b4b1,objTwoColors,#FF8000,2,52,52,4,Red      ,Green    ,0.73,0.02,0.05,0.15,0.21,0.16,0.03,0.04,0.02,0.03,0.04
57581518c2c07,objTwoColors,#FF8000,55,353,144,4,Green    ,Red      ,0.46,0.04,0.26,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
57582b17cd76a,objTwoColors,#FF8000,11,56,103,4,Red      ,Green    ,0.72,0.02,0.05,0.14,0.19,0.15,0.03,0.04,0.03,0.04,0.04
