Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.3,0.15,0.1,0.42,0.38,0.27,0.4,0.29,0.06,0.32,0.19,0.13,0.35,0.2,0.09
Online Users (Regular),0.26,0.15,0.07,0.37,0.39,0.26,0.37,0.29,0.07,0.28,0.19,0.1,0.33,0.2,0.08
Online Users (Uncalibrated),0.38,0.19,0.19,0.34,0.23,0.1,0.48,0.31,0.12,0.4,0.21,0.21,0.47,0.23,0.21
Users aged Less Than 20 Years,0.29,0.14,0.09,0.39,0.41,0.28,0.4,0.28,0.06,0.32,0.18,0.13,0.36,0.2,0.1
Users aged Between 20 and 29 Years,0.3,0.16,0.1,0.38,0.37,0.24,0.39,0.29,0.07,0.31,0.19,0.13,0.35,0.2,0.09
Users aged Between 30 and 39 Years,0.3,0.14,0.1,0.46,0.39,0.3,0.41,0.29,0.07,0.33,0.18,0.13,0.38,0.2,0.12
Users aged Between 40 and 49 Years,0.3,0.19,0.12,0.4,0.38,0.26,0.42,0.34,0.12,0.35,0.27,0.21,0.4,0.29,0.2
Users aged Between 50 and 59 Years,0.31,0.15,0.11,0.36,0.3,0.18,0.43,0.28,0.07,0.34,0.17,0.13,0.38,0.2,0.11
Users aged Above 60 Years,0.29,0.25,0.17,0.34,0.38,0.24,0.39,0.31,0.09,0.32,0.25,0.18,0.35,0.26,0.13
Female Users,0.29,0.17,0.11,0.4,0.36,0.25,0.4,0.3,0.08,0.32,0.2,0.14,0.37,0.22,0.11
Male Users,0.3,0.15,0.1,0.37,0.38,0.26,0.39,0.29,0.07,0.32,0.19,0.13,0.36,0.21,0.1
Other Gender Users,0.38,0.19,0.19,0.45,0.25,0.19,0.46,0.26,0.09,0.4,0.2,0.2,0.38,0.19,0.11
