id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#8000FF,7,225,216,4,Red      ,Blue     
57113b7f16c4b,objTwoColors,#8000FF,236,303,398,1,Blue     ,Pink     
