id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#8000FF,0,286,264,4,0.05,Purple   
573a059da0efd,objTwoColors,#8000FF,0,0,0,1,0.49,Red      
573a0b8280839,objTwoColors,#8000FF,0,322,104,3,0.26,Magenta  
573e4022949b1,objTwoColors,#8000FF,280,0,85,5,0.02,Blue     
573e4d0eb795b,objTwoColors,#8000FF,282,0,228,4,0.03,Purple   
5740b0f8e9734,objTwoColors,#8000FF,279,0,123,5,0.02,Blue     
5740e3f36a945,objTwoColors,#8000FF,280,0,196,3,0.02,Blue     
5710cc5a7829c,objTwoColors,#8000FF,269,0,181,4,0.02,Blue     
5710d28fec2d1,objTwoColors,#8000FF,0,268,136,1,0.02,Blue     
57110028bc74b,objTwoColors,#8000FF,0,206,107,5,0.09,Navy-Blue
57111f6c42412,objTwoColors,#8000FF,271,0,266,5,0.01,Blue     
57113e6176346,objTwoColors,#8000FF,0,285,139,5,0.05,Purple   
57114ae35c9ec,objTwoColors,#8000FF,0,198,863,2,0.13,Navy-Blue
571154184c9bd,objTwoColors,#8000FF,226,0,13,5,0.06,Blue     
571210e10d88b,objTwoColors,#8000FF,272,0,438,5,0.01,Blue     
5712197fbccd5,objTwoColors,#8000FF,0,288,186,4,0.06,Navy-Blue
57121e2a63601,objTwoColors,#8000FF,252,0,50,3,0.06,Blue     
5712a254e00f7,objTwoColors,#8000FF,0,290,121,4,0.07,Navy-Blue
5712bd55a8a13,objTwoColors,#8000FF,263,0,218,3,0.04,Blue     
57153eb9b4bed,objTwoColors,#8000FF,0,277,95,4,0.01,Blue     
57366c199283c,objTwoColors,#8000FF,274,0,157,4,0,Blue     
57451c3b38192,objTwoColors,#8000FF,0,267,206,5,0.03,Blue     
5745f6f039dc9,objTwoColors,#8000FF,0,0,0,2,0.49,Red      
