id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
571130c5cd6e9,objTwoColors,#8000FF,7,237,71,4,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.83,0.62,0.62
571130d934bda,objTwoColors,#8000FF,171,300,216,5,Green    ,Pink     ,0.36,0.07,0.21,0.1,0.1,0.12,0.34,0.07,0.07
57113163e6fb1,objTwoColors,#8000FF,236,46,406,5,Blue     ,Green    ,0.32,0.25,0.05,0.14,0.19,0.15,0.42,0.63,0.63
5711348e42f02,objTwoColors,#8000FF,238,316,121,4,Blue     ,Pink     ,0.07,0.01,0.47,0.03,0.01,0.02,0.34,0.37,0.37
571137a34931a,objTwoColors,#8000FF,183,123,170,2,Blue     ,Green    ,0.69,0.39,0.27,0.2,0.39,0.32,0.45,0.48,0.48
571137cd27765,objTwoColors,#8000FF,226,319,482,3,Blue     ,Pink     ,0.1,0.01,0.14,0.03,0.02,0.01,0.29,0.37,0.37
571138253c724,objTwoColors,#8000FF,243,308,198,3,Blue     ,Pink     ,0.01,0.01,0.47,0.06,0,0.04,0.39,0.33,0.33
57113a4121a89,objTwoColors,#8000FF,185,357,476,3,Blue     ,Red      ,0.56,0.01,0.27,0.15,0.25,0.24,0.18,0.38,0.38
57113d4d93c81,objTwoColors,#8000FF,195,322,41,4,Sky-Blue ,Magenta  ,0.28,0.05,0.24,0.09,0.09,0.1,0.11,0.22,0.22
57113d9cc42b5,objTwoColors,#8000FF,222,303,0,4,Blue     ,Pink     ,0.05,0.04,0.33,0.06,0.01,0.04,0.39,0.32,0.32
57113de4aed1a,objTwoColors,#8000FF,109,223,223,3,Green    ,Blue     ,0.76,0.31,0.13,0.17,0.29,0.19,0.73,0.46,0.45
57114d8a4c057,objTwoColors,#8000FF,270,271,187,5,Blue     ,Blue     ,0.22,0.02,0.4,0.11,0.01,0.1,0.54,0.46,0.46
571153ca15566,objTwoColors,#8000FF,205,325,183,3,Navy-Blue,Magenta  ,0.25,0.03,0.22,0.06,0.07,0.08,0.15,0.3,0.31
5711641931da5,objTwoColors,#8000FF,230,302,156,4,Blue     ,Pink     ,0.04,0.03,0.4,0.06,0,0.05,0.41,0.35,0.35
571165992a5c1,objTwoColors,#8000FF,234,303,283,3,Blue     ,Pink     ,0.02,0.02,0.44,0.06,0,0.05,0.42,0.35,0.35
57116b9b879bf,objTwoColors,#8000FF,310,233,58,3,Pink     ,Blue     ,0.47,0.01,0.3,0.05,0,0.03,0.58,0.46,0.46
5711703bd85fc,objTwoColors,#8000FF,327,245,216,4,Magenta  ,Blue     ,0.6,0.05,0.34,0.03,0.03,0.02,0.67,0.5,0.5
5711760a3dfe0,objTwoColors,#8000FF,232,25,170,5,Blue     ,Orange   ,0.3,0.17,0.06,0.1,0.16,0.14,0.35,0.6,0.61
5711800f2c5f3,objTwoColors,#8000FF,221,322,183,3,Blue     ,Magenta  ,0.13,0.01,0.16,0.04,0.03,0.02,0.25,0.37,0.37
571183866d73f,objTwoColors,#8000FF,53,98,139,5,Green    ,Green    ,0.92,0.47,0.22,0.26,0.47,0.41,0.7,0.64,0.63
57119224388ef,objTwoColors,#8000FF,51,131,126,5,Green    ,Green    ,0.93,0.49,0.22,0.26,0.47,0.41,0.71,0.64,0.64
5711ace2ee7ed,objTwoColors,#8000FF,4,223,97,4,Red      ,Blue     ,0.76,0.09,0.38,0.1,0.15,0.16,0.81,0.61,0.6
5711cbde51bb0,objTwoColors,#8000FF,228,41,123,3,Blue     ,Yellow   ,0.32,0.21,0.07,0.13,0.22,0.15,0.39,0.61,0.61
571214121717c,objTwoColors,#8000FF,1,238,119,5,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.85,0.63,0.63
57121540dbb98,objTwoColors,#8000FF,269,269,109,5,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.54,0.48,0.48
57122801e1da9,objTwoColors,#8000FF,14,233,116,4,Red      ,Blue     ,0.77,0.14,0.36,0.09,0.14,0.15,0.82,0.61,0.6
57122e814fb61,objTwoColors,#8000FF,230,322,59,2,Blue     ,Magenta  ,0.11,0.01,0.11,0.03,0.02,0.01,0.28,0.4,0.4
57123bec83e8e,objTwoColors,#8000FF,353,218,531,2,Red      ,Blue     ,0.74,0.05,0.37,0.1,0.13,0.15,0.8,0.59,0.59
57123e4050550,objTwoColors,#8000FF,250,323,252,3,Blue     ,Magenta  ,0.11,0.06,0.09,0.03,0.03,0.01,0.28,0.42,0.42
571247f66fb51,objTwoColors,#8000FF,237,285,424,3,Blue     ,Purple   ,0.12,0.05,0.44,0.11,0.04,0.1,0.5,0.44,0.44
571252e6d2e70,objTwoColors,#8000FF,5,237,54,5,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.83,0.63,0.62
571260c120253,objTwoColors,#8000FF,234,286,206,2,Blue     ,Purple   ,0.11,0.05,0.43,0.1,0.03,0.09,0.5,0.44,0.44
57127bcfaafb0,objTwoColors,#8000FF,9,235,140,4,Red      ,Blue     ,0.78,0.13,0.37,0.09,0.13,0.15,0.83,0.62,0.61
5712a47f6f8a6,objTwoColors,#8000FF,185,331,272,2,Blue     ,Magenta  ,0.41,0.05,0.25,0.1,0.15,0.16,0.05,0.23,0.23
5712c2b021f58,objTwoColors,#8000FF,198,7,99,4,Navy-Blue,Red      ,0.48,0.04,0.25,0.13,0.23,0.22,0.18,0.46,0.46
5712c57f97f25,objTwoColors,#8000FF,287,227,257,3,Purple   ,Blue     ,0.34,0.06,0.23,0.1,0.03,0.08,0.55,0.47,0.47
5713923c1bbc7,objTwoColors,#8000FF,3,288,811,3,Red      ,Navy-Blue,0.65,0.29,0.37,0.14,0.3,0.22,0.71,0.5,0.49
5713b10383207,objTwoColors,#8000FF,338,169,590,2,Red      ,Green    ,0.7,0.06,0.33,0.12,0.21,0.23,0.64,0.56,0.55
5713dd915ca28,objTwoColors,#8000FF,216,331,132,1,Blue     ,Magenta  ,0.23,0,0.17,0.04,0.06,0.07,0.16,0.42,0.42
5713e73998df9,objTwoColors,#8000FF,237,316,113,3,Blue     ,Pink     ,0.07,0.01,0.47,0.03,0.01,0.02,0.34,0.37,0.37
5713fc80c942a,objTwoColors,#8000FF,231,326,236,5,Blue     ,Magenta  ,0.14,0.02,0.1,0.03,0.03,0.02,0.25,0.43,0.43
571410751e7b0,objTwoColors,#8000FF,220,315,335,2,Blue     ,Pink     ,0.09,0.03,0.17,0.04,0.02,0.02,0.3,0.32,0.32
5716e9900f6ea,objTwoColors,#8000FF,225,4,228,3,Blue     ,Red      ,0.34,0.09,0.09,0.1,0.14,0.16,0.33,0.61,0.61
57190633f233f,objTwoColors,#8000FF,240,344,384,3,Blue     ,Red      ,0.28,0.08,0.04,0.06,0.08,0.09,0.3,0.58,0.58
5734918f46823,objTwoColors,#8000FF,2,209,49,2,Red      ,NA       ,0.73,0.05,0.37,0.11,0.18,0.19,0.78,0.58,0.58
5734d89183dab,objTwoColors,#8000FF,6,230,80,4,Red      ,Blue     ,0.77,0.11,0.38,0.09,0.14,0.16,0.83,0.63,0.62
5735d3455a84c,objTwoColors,#8000FF,247,295,192,4,Blue     ,Pink     ,0.06,0.01,0.46,0.07,0.02,0.07,0.46,0.39,0.39
5736048bb110b,objTwoColors,#8000FF,273,269,241,5,Blue     ,Blue     ,0.24,0.01,0.39,0.11,0,0.1,0.53,0.47,0.47
573613f4689a3,objTwoColors,#8000FF,271,270,142,3,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.53,0.47,0.47
573634984323e,objTwoColors,#8000FF,1,241,364,5,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.85,0.63,0.63
57363b3954a26,objTwoColors,#8000FF,216,317,448,1,Blue     ,Pink     ,0.12,0.03,0.19,0.04,0.03,0.03,0.27,0.31,0.31
573664e1a4a96,objTwoColors,#8000FF,232,314,73,5,Blue     ,Pink     ,0.04,0.01,0.43,0.04,0.01,0.02,0.35,0.34,0.35
5738cf3d97a58,objTwoColors,#8000FF,236,282,254,4,Blue     ,Purple   ,0.14,0.05,0.44,0.11,0.04,0.1,0.52,0.46,0.46
57427cf6bad0c,objTwoColors,#8000FF,228,311,170,3,Blue     ,Pink     ,0.03,0.02,0.39,0.05,0.01,0.03,0.36,0.32,0.32
574297edae49c,objTwoColors,#8000FF,336,238,213,3,Red      ,Blue     ,0.67,0.06,0.36,0.04,0.05,0.06,0.75,0.55,0.54
5744dce84ffa5,objTwoColors,#8000FF,3,210,223,3,Red      ,Blue     ,0.73,0.06,0.37,0.11,0.18,0.19,0.79,0.58,0.57
574511e99b6d9,objTwoColors,#8000FF,3,237,90,4,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.84,0.63,0.62
5745350dc1e22,objTwoColors,#8000FF,236,8,141,5,Blue     ,Red      ,0.33,0.13,0.06,0.09,0.13,0.15,0.35,0.63,0.63
5745500f6e643,objTwoColors,#8000FF,226,327,138,3,Blue     ,Magenta  ,0.16,0.01,0.12,0.03,0.04,0.03,0.23,0.43,0.43
57459c393bbd0,objTwoColors,#8000FF,7,229,80,4,Red      ,Blue     ,0.77,0.11,0.37,0.09,0.14,0.16,0.83,0.61,0.61
5745b5cbe3caa,objTwoColors,#8000FF,300,214,408,4,Pink     ,Blue     ,0.38,0.06,0.25,0.07,0.02,0.04,0.52,0.42,0.42
5745c1c07cc0c,objTwoColors,#8000FF,300,324,645,2,Pink     ,Magenta  ,0.31,0.19,0.19,0.09,0.2,0.11,0.22,0.33,0.33
