id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57114ae35c9ec,twoColorsObj,#0000FF,#FFFF00,#91c01d,209,5,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571153ca15566,twoColorsObj,#0000FF,#FFFF00,#91c01d,179,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571154184c9bd,twoColorsObj,#0000FF,#FFFF00,#46ff9c,9,5,NA       ,0.07,0.25,0.07,0.25,0.3,0.08,0.08,0.14
5711641931da5,twoColorsObj,#0000FF,#FFFF00,#c9ab00,32,3,NA       ,0.16,0.19,0.16,0.19,0.21,0.09,0.12,0.13
571165992a5c1,twoColorsObj,#0000FF,#FFFF00,#6effa3,172,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
57116b9b879bf,twoColorsObj,#0000FF,#FFFF00,#00FF00,144,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711703bd85fc,twoColorsObj,#0000FF,#FFFF00,#00FF80,164,5,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
5711800f2c5f3,twoColorsObj,#0000FF,#FFFF00,#808000,58,4,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
571183866d73f,twoColorsObj,#0000FF,#FFFF00,#80FF00,167,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57119224388ef,twoColorsObj,#0000FF,#FFFF00,#808000,13,5,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
5711ace2ee7ed,twoColorsObj,#0000FF,#FFFF00,#00FF00,168,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711cbde51bb0,twoColorsObj,#0000FF,#FFFF00,#00FF80,169,4,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
5711f4ec96b9c,twoColorsObj,#0000FF,#FFFF00,#c6aeff,44,1,NA       ,0.19,0.2,0.19,0.2,0.29,0.09,0.06,0.08
571210e10d88b,twoColorsObj,#0000FF,#FFFF00,#00FF80,2254,3,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
571214121717c,twoColorsObj,#0000FF,#FFFF00,#80FF00,103,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5712197fbccd5,twoColorsObj,#0000FF,#FFFF00,#91c01d,67,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57121e2a63601,twoColorsObj,#0000FF,#FFFF00,#00FF00,387,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57123bec83e8e,twoColorsObj,#0000FF,#FFFF00,#91c01d,213,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57123e4050550,twoColorsObj,#0000FF,#FFFF00,#00FF00,514,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
571245dfd5f63,twoColorsObj,#0000FF,#FFFF00,#91c01d,459,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571247f66fb51,twoColorsObj,#0000FF,#FFFF00,#FFFFFF,25,5,NA       ,0.15,0.19,0.15,0.19,0.26,0.03,0,0.06
571252e6d2e70,twoColorsObj,#0000FF,#FFFF00,#91c01d,341,5,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571260c120253,twoColorsObj,#0000FF,#FFFF00,#46ff9c,147,3,NA       ,0.07,0.25,0.07,0.25,0.3,0.08,0.08,0.14
57127bcfaafb0,twoColorsObj,#0000FF,#FFFF00,#80FF00,146,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57127cb3ab1fe,twoColorsObj,#0000FF,#FFFF00,#00FF00,155,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712a254e00f7,twoColorsObj,#0000FF,#FFFF00,#00FF00,313,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712a47f6f8a6,twoColorsObj,#0000FF,#FFFF00,#FF6F00,460,2,NA       ,0.23,0.12,0.23,0.12,0.13,0.12,0.14,0.12
5712bd55a8a13,twoColorsObj,#0000FF,#FFFF00,#00FF00,218,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712c2b021f58,twoColorsObj,#0000FF,#FFFF00,#00FF00,158,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712c57f97f25,twoColorsObj,#0000FF,#FFFF00,#6effa3,202,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5712d9bc0cae3,twoColorsObj,#0000FF,#FFFF00,#00FF00,223,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5713aa57bebec,twoColorsObj,#0000FF,#FFFF00,#91c01d,117,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5713b10383207,twoColorsObj,#0000FF,#FFFF00,#80FF00,178,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5713dd915ca28,twoColorsObj,#0000FF,#FFFF00,#6effa3,141,2,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5713fc80c942a,twoColorsObj,#0000FF,#FFFF00,#80FF00,297,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5714d563c6e52,twoColorsObj,#0000FF,#FFFF00,#80FF00,156,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57153eb9b4bed,twoColorsObj,#0000FF,#FFFF00,#00FF00,110,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5715ea836193d,twoColorsObj,#0000FF,#FFFF00,#00FF00,194,1,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5716e9900f6ea,twoColorsObj,#0000FF,#FFFF00,#80FF00,468,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57190633f233f,twoColorsObj,#0000FF,#FFFF00,#80FF00,87,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
572106a31c230,twoColorsObj,#0000FF,#FFFF00,#80FF00,290,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
