id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#0000FF,#FFFF00,#00FF00,342,5,Yellow   
57113b7f16c4b,twoColorsObj,#0000FF,#FFFF00,#00FF00,610,3,Yellow   
