Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.5,0.43,0.05,0.46,0.35,0.1,0.47,0.42,0.05,0.49,0.42,0.07,0.48,0.43,0.04
Online Users (Regular),0.54,0.41,0.01,0.45,0.35,0.11,0.5,0.42,0.03,0.52,0.41,0.04,0.51,0.43,0.01
Online Users (Uncalibrated),0.59,0.37,0.06,0.49,0.34,0.1,0.53,0.39,0.03,0.56,0.38,0.03,0.55,0.39,0.05
Users aged Less Than 20 Years,0.56,0.4,0.02,0.51,0.35,0.09,0.51,0.41,0.03,0.54,0.4,0.02,0.53,0.42,0.02
Users aged Between 20 and 29 Years,0.55,0.4,0,0.47,0.35,0.1,0.51,0.41,0.02,0.54,0.4,0.02,0.53,0.42,0.02
Users aged Between 30 and 39 Years,0.53,0.4,0.02,0.46,0.34,0.12,0.49,0.4,0.05,0.51,0.4,0.05,0.5,0.41,0.03
Users aged Between 40 and 49 Years,0.56,0.39,0.02,0.49,0.35,0.09,0.52,0.4,0.03,0.55,0.4,0.01,0.54,0.41,0.03
Users aged Between 50 and 59 Years,0.54,0.41,0.01,0.44,0.35,0.11,0.5,0.41,0.03,0.52,0.4,0.04,0.51,0.41,0.03
Users aged Above 60 Years,0.55,0.4,0.01,0.48,0.36,0.09,0.52,0.4,0.03,0.55,0.4,0.01,0.54,0.41,0.03
Female Users,0.55,0.4,0.01,0.48,0.35,0.09,0.51,0.41,0.03,0.54,0.4,0.02,0.52,0.41,0.02
Male Users,0.54,0.41,0,0.47,0.35,0.1,0.51,0.41,0.03,0.53,0.4,0.02,0.52,0.42,0.02
Other Gender Users,0.57,0.39,0.03,0.55,0.35,0.08,0.52,0.41,0.02,0.56,0.39,0.02,0.54,0.41,0.04
