id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#FF8000,0,38,306,4,0.05,Yellow   
573e4022949b1,objTwoColors,#FF8000,24,0,53,5,0.04,Orange   
573e4d0eb795b,objTwoColors,#FF8000,7,0,100,3,0.11,Red      
5740ad339507d,objTwoColors,#FF8000,5,0,24,3,0.12,Red      
5740b0f8e9734,objTwoColors,#FF8000,27,0,40,4,0.02,Orange   
5740e3f36a945,objTwoColors,#FF8000,29,0,30,3,0.01,Orange   
5756ab1701ba0,objTwoColors,#FF8000,0,20,39,4,0.06,Red      
5710cd99df604,objTwoColors,#FF8000,25,0,147,3,0.03,Orange   
5710d28fec2d1,objTwoColors,#FF8000,0,1,31,1,0.12,Red      
5710d8ca226a2,objTwoColors,#FF8000,0,40,86,4,0.06,Yellow   
57110028bc74b,objTwoColors,#FF8000,0,45,48,5,0.09,Yellow   
57111f6c42412,objTwoColors,#FF8000,34,0,68,5,0.03,Yellow   
571130c5cd6e9,objTwoColors,#FF8000,25,0,294,5,0.03,Orange   
571154184c9bd,objTwoColors,#FF8000,17,0,8,5,0.08,Red      
57117fe7495aa,objTwoColors,#FF8000,0,40,54,5,0.06,Yellow   
571210e10d88b,objTwoColors,#FF8000,27,0,105,5,0.02,Orange   
5712197fbccd5,objTwoColors,#FF8000,0,48,27,4,0.11,Green    
57121e2a63601,objTwoColors,#FF8000,0,0,0,1,0.12,Red      
57123e4050550,objTwoColors,#FF8000,0,48,402,3,0.11,Green    
5712d16eb8094,objTwoColors,#FF8000,8,0,176,5,0.11,Red      
57153d9a56ce0,objTwoColors,#FF8000,0,29,14,5,0.01,Orange   
57153eb9b4bed,objTwoColors,#FF8000,0,349,109,5,0.12,Red      
572baa7f9493c,objTwoColors,#FF8000,0,44,31,3,0.08,Yellow   
5738cf3d97a58,objTwoColors,#FF8000,0,45,306,4,0.09,Yellow   
57451c3b38192,objTwoColors,#FF8000,0,30,50,5,0,Brown    
5745f6f039dc9,objTwoColors,#FF8000,0,0,0,4,0.12,Red      
