id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#7f00ff,211,15,256,5,NA       ,Red      
57113b7f16c4b,objTwoColors,#7f00ff,224,300,605,2,Blue     ,Pink     
