id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5715f69931d4c,23,Male,7,no,objTwoColors,#0000FF,227,0,219,5,Blue     ,Red      ,0.63,0.16,0.1,0.13,0.09,0.12
57190633f233f,30,Male,32,no,objTwoColors,#0000FF,179,286,423,3,Blue     ,Purple   ,0.15,0,0.07,0.02,0.02,0.08
572767049ccfa,24,Male,32,yes,objTwoColors,#6C00FF,181,239,120,4,Blue     ,Blue     ,0.28,0.09,0.07,0.05,0.05,0.14
572c85675a5ef,23,Male,32,yes,objTwoColors,#0000FF,225,222,151,5,Blue     ,Blue     ,0.51,0.03,0.19,0.1,0.12,0.24
5734918f46823,26,Male,32,no,objTwoColors,#0000FF,0,238,89,4,Red      ,Blue     ,0.62,0.18,0.33,0.13,0.1,0.13
5734aa4c927a8,22,Male,15,no,objTwoColors,#0000FF,209,239,171,3,NA       ,Blue     ,0.45,0.02,0.16,0.09,0.12,0.22
5735d3455a84c,29,Male,32,no,objTwoColors,#0000FF,254,245,596,5,Blue     ,Blue     ,0.54,0,0.27,0.11,0.16,0.26
5736048bb110b,19,Male,32,no,objTwoColors,#0000FF,239,224,108,5,Blue     ,Blue     ,0.53,0,0.29,0.11,0.15,0.25
573613f4689a3,18,Male,7,no,objTwoColors,#0000FF,235,228,171,3,Blue     ,Blue     ,0.54,0,0.27,0.11,0.15,0.26
573634984323e,19,Male,32,no,objTwoColors,#0000FF,230,240,187,5,Blue     ,Blue     ,0.54,0.01,0.23,0.11,0.15,0.26
57363b3954a26,55,Male,16,no,objTwoColors,#0000FF,233,0,39,5,Blue     ,Red      ,0.65,0.17,0.11,0.13,0.1,0.13
573664e1a4a96,49,Male,18,no,objTwoColors,#0000FF,175,265,92,2,Blue     ,Blue     ,0.21,0.04,0.05,0.04,0.04,0.11
57366c199283c,19,Male,32,no,objTwoColors,#0000FF,3,315,104,5,Red      ,Pink     ,0.44,0.46,0.33,0.24,0.31,0.23
5738cf3d97a58,23,Male,32,no,objTwoColors,#0000FF,236,233,163,4,Blue     ,Blue     ,0.55,0,0.27,0.11,0.16,0.26
573a0b8280839,29,Male,21,yes,objTwoColors,#6C00FF,0,318,49,3,Red      ,Pink     ,0.46,0.46,0.33,0.25,0.32,0.24
573c70dabcfe0,49,Male,32,yes,objTwoColors,#6C00FF,111,63,335,3,Green    ,Green    ,0.58,0.53,0.03,0.21,0.38,0.29
573e4022949b1,24,Male,32,yes,objTwoColors,#6C00FF,0,265,289,5,Red      ,Blue     ,0.58,0.26,0.33,0.15,0.18,0.15
573e47c26cb8e,24,Male,32,yes,objTwoColors,#6C00FF,305,230,260,2,Pink     ,Blue     ,0.44,0.04,0.3,0.05,0.1,0.16
573e4d0eb795b,24,Male,32,yes,objTwoColors,#6C00FF,263,0,180,4,Blue     ,Red      ,0.63,0.25,0.12,0.15,0.17,0.14
573edae85268b,27,Male,32,yes,objTwoColors,#6C00FF,242,320,1074,3,Blue     ,Pink     ,0.41,0.1,0.34,0.07,0.09,0.14
5740ad339507d,40,Male,32,yes,objTwoColors,#6C00FF,3,204,61,4,Red      ,Navy-Blue,0.56,0.11,0.33,0.13,0.11,0.1
5740b0f8e9734,62,Male,33,yes,objTwoColors,#6C00FF,263,0,165,5,Blue     ,Red      ,0.63,0.25,0.12,0.15,0.17,0.14
5740b0f8e9734,62,Male,33,yes,objTwoColors,#6C00FF,317,192,287,5,Pink     ,Sky-Blue ,0.4,0.01,0.31,0.03,0.01,0.04
5740b686127bb,32,Male,32,yes,objTwoColors,#6C00FF,234,311,204,4,Blue     ,Pink     ,0.34,0.06,0.29,0.05,0.1,0.16
574297edae49c,24,Male,32,no,objTwoColors,#0000FF,252,241,240,5,Blue     ,Blue     ,0.55,0.01,0.27,0.11,0.16,0.26
5744dce84ffa5,16,Male,13,no,objTwoColors,#0000FF,228,227,235,2,Blue     ,Blue     ,0.53,0.01,0.22,0.1,0.14,0.25
57459c393bbd0,29,Male,31,no,objTwoColors,#0000FF,226,239,123,4,Blue     ,Blue     ,0.53,0,0.2,0.11,0.15,0.25
5745f6f039dc9,15,Male,33,no,objTwoColors,#0000FF,140,54,387,4,Green    ,Green    ,0.52,0.54,0.04,0.21,0.36,0.26
574628a9e94a1,18,Male,4,no,objTwoColors,#0000FF,300,274,196,5,Pink     ,Blue     ,0.38,0.12,0.28,0.06,0.08,0.15
574859b8f3379,30,Male,32,yes,objTwoColors,#6C00FF,243,285,460,3,Blue     ,Purple   ,0.43,0.03,0.3,0.06,0.12,0.21
5756ab1701ba0,21,Male,32,yes,objTwoColors,#6C00FF,57,113,155,5,Green    ,Green    ,0.65,0.53,0.1,0.22,0.38,0.28
5756ae6897296,21,Male,32,yes,objTwoColors,#6C00FF,2,321,113,5,Red      ,Pink     ,0.48,0.48,0.33,0.25,0.33,0.25
5757fd2703090,22,Male,32,yes,objTwoColors,#0000FF,229,0,69,5,Blue     ,Red      ,0.64,0.16,0.1,0.13,0.1,0.13
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#0000FF,235,0,43,4,Blue     ,Red      ,0.65,0.17,0.12,0.13,0.1,0.13
57581518c2c07,25,Male,32,yes,objTwoColors,#0000FF,59,123,256,5,Green    ,Green    ,0.65,0.54,0.1,0.22,0.38,0.28
57582b17cd76a,26,Male,32,yes,objTwoColors,#0000FF,235,0,133,4,Blue     ,Red      ,0.65,0.17,0.12,0.13,0.1,0.13
