id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,objTwoColors,#0000FF,189,311,732,4,Cyan     ,Pink     ,0.12,0,0.11,0.03,0.02,0.05
5710cc2b8a642,objTwoColors,#0000FF,225,228,82,2,Blue     ,Blue     ,0.52,0.02,0.19,0.1,0.13,0.25
5710cd99df604,objTwoColors,#0000FF,249,239,1265,1,Blue     ,Blue     ,0.55,0.01,0.28,0.11,0.16,0.26
5710ce6c1308c,objTwoColors,#0000FF,232,229,93,5,Blue     ,Blue     ,0.53,0.01,0.25,0.11,0.15,0.25
5710ceb320fdf,objTwoColors,#0000FF,231,228,124,5,Blue     ,Blue     ,0.53,0.01,0.24,0.11,0.14,0.25
5710cf445718e,objTwoColors,#0000FF,146,299,318,3,DK-Green ,Pink     ,0.2,0.03,0.03,0.07,0.07,0.04
5710d71ff24c3,objTwoColors,#0000FF,47,88,159,5,Green    ,Green    ,0.64,0.52,0.15,0.23,0.36,0.27
5710d9dcc23f0,objTwoColors,#0000FF,233,232,71,5,Blue     ,Blue     ,0.55,0,0.25,0.11,0.15,0.26
5710dc97aac05,objTwoColors,#0000FF,179,307,485,2,Blue     ,Pink     ,0.04,0.01,0.08,0.04,0,0.03
5710e540a9514,objTwoColors,#0000FF,211,318,653,1,Blue     ,Pink     ,0.3,0.03,0.15,0.05,0.06,0.09
5710e60f69205,objTwoColors,#0000FF,40,125,841,3,Yellow   ,Green    ,0.69,0.53,0.18,0.21,0.37,0.27
5710e9f31cdc4,objTwoColors,#0000FF,55,118,583,4,Green    ,Green    ,0.65,0.53,0.11,0.23,0.38,0.28
571103343658b,objTwoColors,#0000FF,237,227,163,5,Blue     ,Blue     ,0.54,0,0.28,0.11,0.15,0.26
5711106ab212a,objTwoColors,#0000FF,290,192,281,3,Navy-Blue,Sky-Blue ,0.41,0.01,0.23,0.02,0.05,0.11
57112b9e10661,objTwoColors,#0000FF,189,182,92,2,Cyan     ,Blue     ,0.3,0.24,0.11,0.07,0.14,0.1
57112cec29456,objTwoColors,#0000FF,228,231,176,5,Blue     ,Blue     ,0.54,0.01,0.21,0.11,0.14,0.25
57112d8509632,objTwoColors,#0000FF,226,235,156,5,Blue     ,Blue     ,0.53,0.01,0.2,0.11,0.15,0.25
57112e1a2bbbb,objTwoColors,#0000FF,275,253,350,1,Blue     ,Blue     ,0.49,0.03,0.22,0.08,0.13,0.23
57112ebc85ba1,objTwoColors,#0000FF,232,231,171,1,Blue     ,Blue     ,0.54,0,0.25,0.11,0.15,0.26
571130c5cd6e9,objTwoColors,#0000FF,111,300,406,4,Green    ,Pink     ,0.28,0.52,0.05,0.09,0.14,0.09
571130d934bda,objTwoColors,#0000FF,225,223,94,5,Blue     ,Blue     ,0.51,0.02,0.19,0.1,0.12,0.24
571137a34931a,objTwoColors,#0000FF,258,196,395,2,Blue     ,LI-Blue  ,0.48,0.01,0.3,0.07,0.09,0.18
57113ce1334e0,objTwoColors,#0000FF,289,15,266,2,Navy-Blue,Red      ,0.55,0.41,0.13,0.18,0.25,0.16
57113d4d93c81,objTwoColors,#0000FF,187,280,702,2,Cyan     ,Blue     ,0.21,0,0.09,0.03,0.05,0.11
57113de4aed1a,objTwoColors,#0000FF,101,52,158,2,Green    ,Green    ,0.55,0.52,0.03,0.23,0.38,0.27
571153ca15566,objTwoColors,#0000FF,217,265,634,2,Blue     ,Blue     ,0.45,0.01,0.14,0.08,0.13,0.22
571153e3025f9,objTwoColors,#0000FF,218,208,551,0,Blue     ,NA       ,0.45,0.07,0.17,0.07,0.07,0.19
5711641931da5,objTwoColors,#0000FF,234,248,453,5,Blue     ,Blue     ,0.55,0.01,0.26,0.11,0.16,0.26
