id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57113a5534205,objTwoColors,#0000FF,234,233,283,5,Blue     ,Blue     ,0.55,0,0.26,0.11,0.15,0.26
571163013744e,objTwoColors,#0000FF,209,329,82,2,NA       ,Magenta  ,0.38,0.05,0.14,0.06,0.04,0.06
571289ef76e18,objTwoColors,#0000FF,316,182,144,5,Pink     ,Blue     ,0.43,0,0.29,0.05,0.02,0.01
57149713464b1,objTwoColors,#0000FF,0,0,0,1,Red      ,Red      ,0.72,0.55,0.33,0.31,0.42,0.33
