id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5710ee9e58646,25,Female,32,yes,objTwoColors,#80FF00,56,198,110,4,Green    ,Navy-Blue,0.42,0.04,0.21,0.05,0.09,0.09,0.51,0.52,0.51,0.52,0.52,0.87,0.58,0.59,0.69,0.59,0.59
5710ffa5dd7be,22,Male,6,no,objTwoColors,#80FF00,187,58,179,5,Cyan     ,Green    ,0.65,0.04,0.15,0.06,0.11,0.1,0.32,0.33,0.28,0.33,0.33,0.24,0.09,0.1,0.06,0.09,0.1
571103343658b,20,Female,32,no,objTwoColors,#80FF00,85,90,153,5,DK-Green ,Green    ,0.59,0.01,0.27,0.11,0.21,0.2,0.15,0.15,0.2,0.17,0.15,0.64,0.33,0.33,0.47,0.35,0.33
57111f6c42412,22,Male,34,no,objTwoColors,#80FF00,95,0,197,5,Green    ,Red      ,0.79,0.16,0.29,0.1,0.15,0.09,0.29,0.3,0.31,0.28,0.3,0.82,0.51,0.5,0.58,0.49,0.5
5711231e370f2,24,Male,32,yes,objTwoColors,#80FF00,0,145,275,4,Red      ,DK-Green ,0.17,0.06,0.24,0.08,0.1,0.07,0.55,0.57,0.56,0.58,0.57,0.69,0.53,0.54,0.6,0.55,0.54
57112a657ac25,20,Female,24,no,objTwoColors,#80FF00,85,0,110,3,DK-Green ,Red      ,0.76,0.19,0.27,0.11,0.16,0.09,0.32,0.32,0.31,0.3,0.32,0.81,0.5,0.5,0.58,0.48,0.5
57112cec29456,26,Male,11,no,objTwoColors,#80FF00,91,98,374,5,Green    ,Green    ,0.62,0.01,0.28,0.12,0.22,0.21,0.15,0.17,0.22,0.18,0.17,0.67,0.35,0.36,0.49,0.37,0.36
57112da850667,22,Female,47,no,objTwoColors,#80FF00,59,120,186,4,Green    ,Green    ,0.52,0,0.21,0.11,0.2,0.17,0.28,0.3,0.32,0.31,0.3,0.66,0.37,0.38,0.5,0.39,0.38
5711300507308,21,Female,13,no,objTwoColors,#80FF00,57,186,174,3,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.1,0.43,0.45,0.44,0.45,0.45,0.8,0.51,0.52,0.63,0.52,0.52
571130c5cd6e9,24,Female,32,no,objTwoColors,#80FF00,56,176,112,5,Green    ,Blue     ,0.3,0.04,0.21,0.06,0.12,0.1,0.39,0.41,0.4,0.41,0.41,0.75,0.46,0.48,0.58,0.48,0.48
571130d934bda,22,Female,32,no,objTwoColors,#80FF00,83,105,293,5,DK-Green ,Green    ,0.6,0.01,0.27,0.11,0.22,0.21,0.18,0.2,0.23,0.21,0.2,0.67,0.36,0.36,0.49,0.38,0.36
57113b7f16c4b,22,Male,31,no,objTwoColors,#80FF00,66,147,201,2,Yellow   ,NA       ,0.46,0.04,0.23,0.09,0.18,0.16,0.25,0.26,0.28,0.27,0.26,0.66,0.35,0.36,0.49,0.37,0.36
57113b9642c48,21,Female,9,no,objTwoColors,#80FF00,117,0,111,5,Green    ,Red      ,0.82,0.11,0.31,0.1,0.16,0.1,0.3,0.3,0.33,0.28,0.3,0.83,0.52,0.52,0.6,0.5,0.52
57113de4aed1a,21,Male,31,no,objTwoColors,#80FF00,50,171,124,3,Green    ,Green    ,0.26,0.04,0.19,0.07,0.11,0.1,0.39,0.41,0.4,0.42,0.41,0.73,0.45,0.46,0.56,0.47,0.46
57113e6176346,23,Female,30,no,objTwoColors,#80FF00,238,53,222,4,Blue     ,Green    ,0.79,0.36,0.39,0.02,0.07,0.13,0.58,0.58,0.49,0.57,0.58,0.04,0.35,0.34,0.22,0.33,0.34
57114d8a4c057,22,Male,9,no,objTwoColors,#80FF00,89,118,195,5,Green    ,Green    ,0.63,0.03,0.28,0.12,0.22,0.22,0.18,0.19,0.25,0.2,0.19,0.69,0.37,0.38,0.52,0.39,0.38
