id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
57116b9b879bf,objTwoColors,#80FF00,185,53,410,3,Blue     ,Green    ,0.65,0.05,0.15,0.06,0.11,0.09,0.33,0.33,0.25,0.32,0.33,0.27,0.1,0.09,0.05,0.08,0.09
5711703bd85fc,objTwoColors,#80FF00,56,229,211,5,Green    ,Blue     ,0.58,0.06,0.21,0.02,0.04,0.12,0.66,0.66,0.65,0.66,0.66,1.02,0.73,0.73,0.83,0.73,0.73
571171d59aaee,objTwoColors,#80FF00,74,124,269,1,Yellow   ,Green    ,0.56,0.02,0.25,0.11,0.21,0.2,0.23,0.24,0.27,0.25,0.24,0.67,0.36,0.37,0.51,0.38,0.37
5711760a3dfe0,objTwoColors,#80FF00,97,100,200,5,Green    ,Green    ,0.64,0.02,0.29,0.12,0.23,0.22,0.13,0.15,0.23,0.16,0.15,0.67,0.36,0.37,0.51,0.38,0.37
5711800f2c5f3,objTwoColors,#80FF00,188,52,91,4,Cyan     ,Green    ,0.66,0.05,0.15,0.06,0.1,0.09,0.35,0.36,0.26,0.35,0.36,0.26,0.12,0.12,0.03,0.11,0.12
571183866d73f,objTwoColors,#80FF00,222,57,107,5,Blue     ,Green    ,0.75,0.05,0.31,0.03,0.04,0.11,0.52,0.54,0.47,0.54,0.54,0.04,0.3,0.3,0.2,0.3,0.3
57119224388ef,objTwoColors,#80FF00,166,50,561,5,Green    ,Green    ,0.63,0.04,0.19,0.08,0.13,0.1,0.23,0.24,0.14,0.23,0.24,0.39,0.08,0.08,0.16,0.07,0.08
5711ace2ee7ed,objTwoColors,#80FF00,59,208,123,5,Green    ,NA       ,0.49,0.04,0.22,0.03,0.07,0.1,0.55,0.56,0.55,0.56,0.56,0.93,0.64,0.64,0.73,0.64,0.64
571214121717c,objTwoColors,#80FF00,54,229,121,3,Green    ,Blue     ,0.57,0.06,0.2,0.02,0.04,0.13,0.66,0.67,0.65,0.67,0.67,1.02,0.74,0.73,0.83,0.74,0.73
57122e814fb61,objTwoColors,#80FF00,55,198,156,4,Green    ,Navy-Blue,0.41,0.04,0.21,0.05,0.08,0.09,0.51,0.52,0.51,0.52,0.52,0.87,0.58,0.59,0.69,0.59,0.59
