id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
57123bec83e8e,21,Male,32,no,objTwoColors,#80FF00,59,214,373,3,Green    ,Blue     ,0.53,0.04,0.22,0.03,0.06,0.1,0.58,0.6,0.59,0.6,0.6,0.96,0.67,0.68,0.77,0.68,0.68
571247f66fb51,27,Male,32,no,objTwoColors,#80FF00,94,105,268,5,Green    ,Green    ,0.63,0.02,0.29,0.12,0.23,0.22,0.15,0.17,0.23,0.18,0.17,0.68,0.37,0.37,0.5,0.39,0.37
571260c120253,22,Male,32,no,objTwoColors,#80FF00,172,57,147,2,Green    ,Green    ,0.63,0.04,0.17,0.06,0.12,0.11,0.24,0.25,0.18,0.25,0.25,0.33,0.02,0.03,0.13,0.02,0.03
5713b10383207,40,Male,32,no,objTwoColors,#80FF00,181,59,146,4,Blue     ,Green    ,0.64,0.05,0.15,0.06,0.12,0.1,0.28,0.3,0.24,0.31,0.3,0.27,0.05,0.06,0.09,0.07,0.06
5713d766113e9,21,Male,4,no,objTwoColors,#80FF00,203,54,478,5,Navy-Blue,Green    ,0.7,0.04,0.19,0.04,0.07,0.09,0.43,0.44,0.36,0.43,0.44,0.15,0.2,0.2,0.08,0.19,0.2
571534076a966,52,Male,9,no,objTwoColors,#80FF00,16,61,554,3,Red      ,Green    ,0.26,0.21,0.22,0.13,0.18,0.09,0.38,0.38,0.39,0.39,0.38,0.55,0.37,0.36,0.44,0.38,0.36
57190633f233f,30,Male,32,no,objTwoColors,#80FF00,56,247,206,4,Green    ,Blue     ,0.59,0.36,0.21,0.03,0.06,0.13,0.67,0.68,0.66,0.67,0.68,1.03,0.74,0.75,0.84,0.74,0.75
572106a31c230,24,Male,16,no,objTwoColors,#80FF00,197,57,315,3,LI-Blue  ,Green    ,0.67,0.04,0.17,0.05,0.09,0.09,0.38,0.4,0.33,0.4,0.4,0.18,0.15,0.16,0.06,0.15,0.16
572767049ccfa,24,Male,32,yes,objTwoColors,#00FF00,5,227,103,4,Red      ,Blue     ,0.31,0.43,0.16,0.09,0.17,0.17,0.91,0.92,0.9,0.92,0.92,1.05,0.89,0.89,0.93,0.9,0.89
572c85675a5ef,23,Male,32,yes,objTwoColors,#80FF00,94,97,223,5,Green    ,Green    ,0.63,0.02,0.29,0.12,0.22,0.22,0.14,0.15,0.22,0.16,0.15,0.67,0.36,0.35,0.49,0.37,0.35
5734918f46823,26,Male,32,no,objTwoColors,#80FF00,53,191,97,3,Green    ,Sky-Blue ,0.36,0.05,0.2,0.06,0.1,0.09,0.48,0.49,0.48,0.49,0.49,0.83,0.55,0.55,0.65,0.56,0.55
5734aa4c927a8,22,Male,15,no,objTwoColors,#80FF00,56,206,193,3,Green    ,Navy-Blue,0.47,0.04,0.21,0.03,0.07,0.09,0.55,0.56,0.55,0.56,0.56,0.91,0.62,0.63,0.73,0.63,0.63
5735d3455a84c,29,Male,32,no,objTwoColors,#80FF00,189,55,249,4,Cyan     ,Green    ,0.65,0.05,0.15,0.06,0.1,0.09,0.34,0.36,0.28,0.35,0.36,0.24,0.12,0.12,0.04,0.11,0.12
5736048bb110b,19,Male,32,no,objTwoColors,#80FF00,90,80,195,5,Green    ,Yellow   ,0.61,0.01,0.28,0.11,0.2,0.19,0.1,0.11,0.17,0.12,0.11,0.62,0.3,0.3,0.44,0.31,0.3
573634984323e,19,Male,32,no,objTwoColors,#80FF00,62,127,45,4,Green    ,Green    ,0.52,0.01,0.22,0.11,0.2,0.17,0.27,0.29,0.3,0.3,0.29,0.66,0.37,0.37,0.49,0.39,0.37
573664e1a4a96,49,Male,18,no,objTwoColors,#80FF00,57,158,173,3,Green    ,Cyan     ,0.36,0.04,0.21,0.09,0.15,0.13,0.31,0.33,0.32,0.33,0.33,0.68,0.39,0.4,0.51,0.4,0.4
57366c199283c,19,Male,32,no,objTwoColors,#80FF00,59,173,245,3,Green    ,Green    ,0.29,0.04,0.22,0.06,0.12,0.11,0.36,0.38,0.38,0.38,0.38,0.74,0.45,0.46,0.56,0.46,0.46
5738cf3d97a58,23,Male,32,no,objTwoColors,#80FF00,117,0,164,4,Green    ,Red      ,0.82,0.11,0.31,0.1,0.16,0.1,0.3,0.3,0.33,0.28,0.3,0.83,0.52,0.52,0.6,0.5,0.52
573a0b8280839,29,Male,21,yes,objTwoColors,#00FF00,164,54,144,3,Green    ,Green    ,0.63,0.04,0.2,0.08,0.14,0.11,0.2,0.21,0.12,0.2,0.21,0.39,0.07,0.07,0.17,0.06,0.07
573c70dabcfe0,49,Male,32,yes,objTwoColors,#00FF00,59,231,305,2,Green    ,Blue     ,0.59,0.07,0.22,0.03,0.04,0.12,0.64,0.66,0.65,0.66,0.66,1.02,0.73,0.74,0.83,0.74,0.74
573e4022949b1,24,Male,32,yes,objTwoColors,#00FF00,128,0,115,5,Green    ,Red      ,0.82,0.09,0.3,0.09,0.15,0.09,0.3,0.3,0.32,0.28,0.3,0.82,0.51,0.51,0.59,0.49,0.51
573e47c26cb8e,24,Male,32,yes,objTwoColors,#00FF00,58,249,206,3,Green    ,Blue     ,0.59,0.36,0.22,0.03,0.06,0.13,0.65,0.66,0.65,0.66,0.66,1.02,0.73,0.74,0.83,0.74,0.74
573e4d0eb795b,24,Male,32,yes,objTwoColors,#00FF00,58,236,88,5,Green    ,Blue     ,0.59,0.08,0.22,0.03,0.06,0.13,0.66,0.67,0.65,0.66,0.67,1.03,0.74,0.75,0.83,0.74,0.75
573edae85268b,27,Male,32,yes,objTwoColors,#00FF00,235,59,162,4,Blue     ,Green    ,0.78,0.08,0.38,0.03,0.06,0.13,0.55,0.57,0.51,0.58,0.57,0.01,0.32,0.33,0.24,0.34,0.33
5740ad339507d,40,Male,32,yes,objTwoColors,#00FF00,218,58,116,4,Blue     ,Green    ,0.74,0.05,0.28,0.03,0.04,0.11,0.51,0.52,0.46,0.52,0.52,0.06,0.28,0.28,0.19,0.28,0.28
5740b0f8e9734,62,Male,33,yes,objTwoColors,#00FF00,136,0,330,4,Green    ,Red      ,0.81,0.08,0.29,0.09,0.13,0.09,0.31,0.32,0.3,0.3,0.32,0.8,0.49,0.49,0.57,0.47,0.49
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF00,59,147,180,4,Green    ,NA       ,0.44,0.03,0.21,0.09,0.18,0.15,0.27,0.29,0.31,0.3,0.29,0.65,0.36,0.37,0.49,0.38,0.37
574297edae49c,24,Male,32,no,objTwoColors,#80FF00,96,80,239,4,Green    ,Yellow   ,0.63,0.01,0.29,0.11,0.21,0.19,0.09,0.1,0.17,0.11,0.1,0.62,0.31,0.31,0.44,0.32,0.31
57459c393bbd0,29,Male,31,no,objTwoColors,#80FF00,189,54,439,4,Cyan     ,Green    ,0.66,0.05,0.15,0.06,0.1,0.09,0.34,0.36,0.27,0.35,0.36,0.24,0.12,0.12,0.03,0.11,0.12
5745f6f039dc9,15,Male,33,no,objTwoColors,#80FF00,0,0,0,4,Red      ,Red      ,0.39,0.39,0.25,0.24,0.3,0.22,0.69,0.7,0.64,0.68,0.7,0.83,0.67,0.67,0.68,0.65,0.67
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF00,195,52,105,4,Sky-Blue ,Green    ,0.68,0.04,0.16,0.05,0.09,0.09,0.39,0.4,0.31,0.39,0.4,0.21,0.16,0.16,0.04,0.15,0.16
5756ab1701ba0,21,Male,32,yes,objTwoColors,#00FF00,58,211,142,5,Green    ,Blue     ,0.5,0.04,0.22,0.03,0.06,0.1,0.57,0.58,0.57,0.58,0.58,0.94,0.65,0.66,0.75,0.66,0.66
5756ae6897296,21,Male,32,yes,objTwoColors,#00FF00,54,164,350,4,Green    ,Green    ,0.31,0.04,0.2,0.08,0.14,0.11,0.34,0.36,0.35,0.37,0.36,0.7,0.42,0.42,0.53,0.44,0.42
5757fd2703090,22,Male,32,yes,objTwoColors,#80FF00,86,0,172,5,DK-Green ,Red      ,0.77,0.19,0.27,0.1,0.16,0.09,0.31,0.32,0.31,0.3,0.32,0.81,0.5,0.5,0.58,0.48,0.5
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#80FF00,129,0,97,3,Green    ,Red      ,0.82,0.09,0.3,0.09,0.15,0.09,0.3,0.31,0.32,0.29,0.31,0.82,0.51,0.51,0.59,0.49,0.51
57581518c2c07,25,Male,32,yes,objTwoColors,#80FF00,227,56,95,5,Blue     ,Green    ,0.77,0.06,0.34,0.02,0.04,0.12,0.54,0.55,0.49,0.55,0.55,0.02,0.31,0.31,0.21,0.31,0.31
57582b17cd76a,26,Male,32,yes,objTwoColors,#80FF00,58,179,64,3,Green    ,Blue     ,0.31,0.05,0.21,0.06,0.12,0.1,0.4,0.41,0.4,0.41,0.41,0.77,0.48,0.49,0.58,0.49,0.49
