id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#80FF00,68,206,382,5,Yellow   ,Navy-Blue
57113b7f16c4b,objTwoColors,#80FF00,66,147,201,2,Yellow   ,DK-Green 
