id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5716e9900f6ea,objTwoColors,#FF00FF,12,235,217,3,Red      ,Blue     ,0.04,0.02,0.18,0.04,0.03,0.05
57190633f233f,objTwoColors,#FF00FF,350,192,432,3,Red      ,Sky-Blue ,0.22,0.17,0.13,0.1,0.12,0.12
572106a31c230,objTwoColors,#FF00FF,191,33,389,3,Sky-Blue ,Orange   ,0.95,0.43,0.24,0.14,0.23,0.17
57277ba3c5a5c,objTwoColors,#FF00FF,7,182,101,2,Red      ,Blue     ,0.27,0.41,0.14,0.1,0.19,0.15
5734918f46823,objTwoColors,#FF00FF,15,207,148,3,Red      ,Navy-Blue,0.15,0.08,0.17,0.08,0.12,0.09
5734e397122ce,objTwoColors,#FF00FF,300,300,2351,5,Pink     ,Pink     ,0.55,0.04,0.04,0.05,0.01,0.17
5736048bb110b,objTwoColors,#FF00FF,299,300,296,5,Pink     ,Pink     ,0.56,0.04,0.04,0.05,0.01,0.17
573634984323e,objTwoColors,#FF00FF,303,310,247,4,Pink     ,Pink     ,0.59,0,0.04,0.04,0,0.13
573664e1a4a96,objTwoColors,#FF00FF,300,300,152,1,Pink     ,Pink     ,0.55,0.04,0.04,0.05,0.01,0.17
5738cf3d97a58,objTwoColors,#FF00FF,236,5,152,4,Blue     ,Red      ,1.11,0.04,0.29,0.03,0.03,0.05
574121b9e952d,objTwoColors,#FF00FF,189,11,222,3,Cyan     ,Red      ,0.97,0.42,0.25,0.11,0.18,0.14
574297edae49c,objTwoColors,#FF00FF,12,236,89,4,Red      ,Blue     ,0.04,0.02,0.18,0.04,0.03,0.05
574511e99b6d9,objTwoColors,#FF00FF,13,188,133,2,Red      ,Cyan     ,0.26,0.42,0.15,0.11,0.19,0.14
5745350dc1e22,objTwoColors,#FF00FF,326,213,81,3,Magenta  ,Blue     ,0.26,0.18,0.08,0.1,0.12,0.17
5745500f6e643,objTwoColors,#FF00FF,224,333,80,3,Blue     ,Magenta  ,0.96,0.14,0.18,0.09,0.11,0.15
57459c393bbd0,objTwoColors,#FF00FF,228,6,344,4,Blue     ,Red      ,1.1,0.05,0.26,0.04,0.03,0.05
5745c1c07cc0c,objTwoColors,#FF00FF,322,196,120,4,Magenta  ,LI-Blue  ,0.4,0.21,0.05,0.13,0.11,0.16
