Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.34,0.26,0.09,0.45,0.36,0.13,0.42,0.32,0.06,0.36,0.27,0.09,0.39,0.28,0.09
Online Users (Regular),0.32,0.21,0.05,0.43,0.33,0.12,0.41,0.31,0.06,0.34,0.24,0.07,0.38,0.25,0.09
Online Users (Uncalibrated),0.44,0.35,0.2,0.5,0.34,0.08,0.47,0.35,0.06,0.44,0.32,0.16,0.47,0.34,0.1
Users aged Less Than 20 Years,0.4,0.22,0.07,0.49,0.33,0.08,0.47,0.3,0.01,0.43,0.24,0.09,0.44,0.24,0.03
Users aged Between 20 and 29 Years,0.4,0.26,0.1,0.43,0.34,0.12,0.46,0.32,0.03,0.41,0.26,0.1,0.44,0.27,0.04
Users aged Between 30 and 39 Years,0.41,0.2,0.06,0.44,0.31,0.1,0.48,0.31,0.03,0.45,0.26,0.12,0.47,0.27,0.04
Users aged Between 40 and 49 Years,0.46,0.34,0.2,0.45,0.33,0.1,0.49,0.33,0.05,0.47,0.3,0.16,0.47,0.3,0.07
Users aged Between 50 and 59 Years,0.38,0.2,0.04,0.47,0.32,0.08,0.43,0.32,0.05,0.39,0.24,0.06,0.42,0.26,0.06
Users aged Above 60 Years,0.39,0.26,0.09,0.45,0.31,0.09,0.44,0.29,0.02,0.41,0.25,0.08,0.4,0.24,0.07
Female Users,0.42,0.24,0.09,0.44,0.32,0.1,0.47,0.31,0.02,0.43,0.25,0.1,0.45,0.26,0.03
Male Users,0.4,0.26,0.1,0.45,0.34,0.11,0.46,0.32,0.03,0.41,0.27,0.1,0.44,0.27,0.05
Other Gender Users,0.4,0.2,0.05,0.54,0.32,0.05,0.47,0.31,0.02,0.44,0.25,0.1,0.46,0.28,0.04
