id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57114d8a4c057,twoColorsObj,#00FF00,#FF00FF,#808000,41,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57115317eb242,twoColorsObj,#00FF00,#FF00FF,#FF8080,513,3,NA       ,0.29,0.13,0.29,0.13,0.15,0.06,0.08,0.06
571153ca15566,twoColorsObj,#00FF00,#FF00FF,#c9ab00,56,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
571153e3025f9,twoColorsObj,#00FF00,#FF00FF,#808000,347,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
571154184c9bd,twoColorsObj,#00FF00,#FF00FF,#808000,90,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5711602ded5e3,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5711641931da5,twoColorsObj,#00FF00,#FF00FF,#5792ff,133,2,Sky-Blue ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
571165992a5c1,twoColorsObj,#00FF00,#FF00FF,#c6aeff,1035,2,NA       ,0.17,0.25,0.17,0.25,0.28,0.09,0.06,0.1
57116b9b879bf,twoColorsObj,#00FF00,#FF00FF,#FB0080,450,4,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
57116ce8cf9e5,twoColorsObj,#00FF00,#FF00FF,#c9ab00,437,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5711703bd85fc,twoColorsObj,#00FF00,#FF00FF,#808000,351,4,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5711800f2c5f3,twoColorsObj,#00FF00,#FF00FF,#808000,265,5,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
571183866d73f,twoColorsObj,#00FF00,#FF00FF,#ff0087,281,4,NA       ,0.27,0.15,0.27,0.15,0.16,0.09,0.11,0.09
57119224388ef,twoColorsObj,#00FF00,#FF00FF,#ffa100,16,5,NA       ,0.35,0.08,0.35,0.08,0.11,0.1,0.13,0.09
5711ace2ee7ed,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,677,2,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5711cbde51bb0,twoColorsObj,#00FF00,#FF00FF,#c9ab00,312,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5711f4ec96b9c,twoColorsObj,#00FF00,#FF00FF,#FF6755,17,1,NA       ,0.32,0.09,0.32,0.09,0.12,0.09,0.12,0.09
57120d338509d,twoColorsObj,#00FF00,#FF00FF,#5792ff,669,3,Sky-Blue ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
571210e10d88b,twoColorsObj,#00FF00,#FF00FF,#00ffb7,1290,2,NA       ,0.27,0.23,0.27,0.23,0.26,0.08,0.07,0.08
571214121717c,twoColorsObj,#00FF00,#FF00FF,#ca0088,292,2,NA       ,0.23,0.19,0.23,0.19,0.2,0.09,0.09,0.09
5712197fbccd5,twoColorsObj,#00FF00,#FF00FF,#c9ab00,32,1,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57121e2a63601,twoColorsObj,#00FF00,#FF00FF,#c4ff9e,3,1,NA       ,0.3,0.18,0.3,0.18,0.21,0.05,0.06,0.05
