id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,NA       
57113b7f16c4b,twoColorsObj,#00FF00,#FF00FF,#91c01d,740,3,NA       
