id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57123e4050550,20,Female,40,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,31,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
571252e6d2e70,31,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,471,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57127bcfaafb0,22,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#800080,242,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
571289ef76e18,55,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#0000FF,390,4,Navy-Blue,0,0.42,0,0.42,0.44,0.26,0.23,0.27
5712bd55a8a13,27,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,678,1,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
5712c2b021f58,22,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,38,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5712c57f97f25,25,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#808080,14,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713923c1bbc7,24,Female,27,no,twoColorsObj,#00FF00,#FF00FF,#7f00ff,205,2,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
5713a02a13044,24,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#7f00ff,144,3,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
5713acb331c3c,24,Female,7,no,twoColorsObj,#00FF00,#FF00FF,#FB0080,66,1,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
5713dd915ca28,24,Female,20,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,951,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5713ddde59251,22,Female,1,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,0,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713fc80c942a,23,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,301,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
57149713464b1,51,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,1,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5714dc153397f,27,Female,3,no,twoColorsObj,#00FF00,#FF00FF,#8000FF,189,1,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
57153eb9b4bed,35,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,319,2,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5716e9900f6ea,58,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,479,1,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5727f6d19e901,19,Female,5,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,291,2,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
572baa7f9493c,20,Female,10,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,445,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5734d81ba001b,19,Female,3,no,twoColorsObj,#00FF00,#FF00FF,#7f00ff,519,1,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
5734d89183dab,19,Female,29,no,twoColorsObj,#00FF00,#FF00FF,#808000,81,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5739ff85289b2,56,Female,25,yes,twoColorsObj,#00FF00,#FF00FF,#6500FF,5,3,Navy-Blue,0.03,0.38,0.03,0.38,0.4,0.23,0.2,0.24
573a059da0efd,31,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,1,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
573c783748e8b,37,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#006C84,929,3,Cyan     ,0.16,0.29,0.16,0.29,0.31,0.11,0.08,0.12
573ec4275ba17,24,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#6500FF,120,4,Navy-Blue,0.03,0.38,0.03,0.38,0.4,0.23,0.2,0.24
5740a8b59d448,31,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#978900,173,3,NA       ,0.35,0.12,0.35,0.12,0.15,0.1,0.12,0.08
5740bda9be3dc,83,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#CDB196,257,5,NA       ,0.27,0.17,0.27,0.17,0.2,0.01,0.04,0
5740e3f36a945,49,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#978900,589,1,NA       ,0.35,0.12,0.35,0.12,0.15,0.1,0.12,0.08
57427cf6bad0c,19,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#ca8aaa,72,1,NA       ,0.23,0.19,0.23,0.19,0.22,0.03,0.03,0.05
574511e99b6d9,19,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,421,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57451c3b38192,23,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,15,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745350dc1e22,19,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,265,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5745500f6e643,24,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,318,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745b5cbe3caa,34,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,271,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5756b2d9bd658,23,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#AE004F,192,3,NA       ,0.3,0.13,0.3,0.13,0.14,0.1,0.12,0.1
5776cc574bf84,45,Female,21,no,twoColorsObj,#00FF00,#FF00FF,#ab00ff,221,4,NA       ,0.09,0.33,0.09,0.33,0.35,0.18,0.16,0.19
