Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.31,0.38,0.23,0.33,0.38,0.25,0.36,0.37,0.01,0.31,0.37,0.03,0.33,0.36,0.05
Online Users (Regular),0.24,0.27,0.11,0.33,0.37,0.25,0.31,0.34,0.07,0.26,0.3,0.11,0.27,0.29,0.13
Online Users (Uncalibrated),0.37,0.27,0.2,0.33,0.3,0.26,0.44,0.35,0.07,0.39,0.3,0.07,0.43,0.32,0.08
Users aged Less Than 20 Years,0.31,0.24,0.13,0.36,0.34,0.22,0.37,0.32,0.05,0.32,0.26,0.1,0.35,0.26,0.12
Users aged Between 20 and 29 Years,0.27,0.23,0.09,0.34,0.32,0.24,0.38,0.33,0.04,0.3,0.26,0.11,0.35,0.27,0.1
Users aged Between 30 and 39 Years,0.28,0.2,0.09,0.33,0.32,0.26,0.38,0.32,0.05,0.31,0.24,0.12,0.35,0.25,0.12
Users aged Between 40 and 49 Years,0.27,0.32,0.16,0.33,0.36,0.24,0.38,0.38,0.02,0.31,0.36,0.03,0.36,0.37,0.02
Users aged Between 50 and 59 Years,0.3,0.26,0.13,0.33,0.32,0.26,0.39,0.35,0.02,0.34,0.31,0.05,0.37,0.33,0.05
Users aged Above 60 Years,0.37,0.23,0.18,0.35,0.35,0.23,0.4,0.31,0.06,0.38,0.24,0.12,0.39,0.25,0.13
Female Users,0.29,0.24,0.12,0.34,0.34,0.24,0.38,0.33,0.03,0.31,0.27,0.1,0.36,0.28,0.1
Male Users,0.28,0.23,0.1,0.35,0.32,0.24,0.38,0.33,0.03,0.31,0.27,0.09,0.35,0.28,0.1
Other Gender Users,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
