id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#0080FF,217,180,469,4,Blue     ,Blue     
57113b7f16c4b,objTwoColors,#0080FF,226,149,189,2,Blue     ,Teal     
