id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
57113a5534205,objTwoColors,#0080FF,236,0,135,5,Blue     ,Red      ,0.88,0.12,0.39,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
571163013744e,objTwoColors,#0080FF,197,307,17,2,LI-Blue  ,Pink     ,0.37,0.12,0.25,0.1,0.24,0.2,0.39,0.37,0.23,0.39,0.37,0.57
571289ef76e18,objTwoColors,#0080FF,113,48,183,4,Green    ,Green    ,0.34,0.41,0.39,0.12,0.2,0.16,0.79,0.76,0.77,0.79,0.76,0.49
57149713464b1,objTwoColors,#0080FF,0,0,0,1,Red      ,Red      ,0.74,0.47,0.05,0.24,0.3,0.27,0.94,0.9,0.89,0.94,0.9,0.93
