id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#FF0000,#FFFF00,#ffa100,450,5,NA       ,0.08,0.08,0.07,0.07,0.1,0.06
5710cbe10cade,21,Male,15,no,twoColorsObj,#FF0000,#FFFF00,#80FF00,451,5,DK-Green ,0.18,0.18,0.15,0.16,0.2,0.15
5710cc5a7829c,27,Male,32,no,twoColorsObj,#FF0000,#FFFF00,#ffa100,101,4,NA       ,0.08,0.08,0.07,0.07,0.1,0.06
5710cd99df604,23,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,121,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5710ce6c1308c,23,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,116,4,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5710ceb320fdf,23,Male,15,no,twoColorsObj,#FF0000,#FFFF00,#ffa100,32,3,NA       ,0.08,0.08,0.07,0.07,0.1,0.06
5710cf445718e,25,Male,32,no,twoColorsObj,#FF0000,#FFFF00,#7f00ff,78,3,NA       ,0.37,0.37,0.37,0.36,0.38,0.36
5710d140b7c5a,26,Male,32,no,twoColorsObj,#FF0000,#FFFF00,#ffa100,200,3,NA       ,0.08,0.08,0.07,0.07,0.1,0.06
5710d71ff24c3,20,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,29,5,NA       ,0.08,0.08,0.07,0.07,0.09,0.06
5710d8d6aecd6,23,Female,7,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,113,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5710e60f69205,24,Female,31,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,364,4,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5710ee9e58646,25,Female,32,yes,twoColorsObj,#FF0000,#FFFF00,#FF6F00,291,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5710ffa5dd7be,22,Male,6,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,345,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
571103343658b,20,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,51,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
57111f6c42412,22,Male,34,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,288,4,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5711231e370f2,24,Male,32,yes,twoColorsObj,#FF0000,#FFFF00,#FF6F00,414,3,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
57112a657ac25,20,Female,24,no,twoColorsObj,#FF0000,#FFFF00,#ffa100,22,4,NA       ,0.08,0.08,0.07,0.07,0.1,0.06
57112da850667,22,Female,47,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,1,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
57112f57403ee,25,Female,14,no,twoColorsObj,#FF0000,#FFFF00,#FF8000,373,4,NA       ,0.07,0.07,0.06,0.06,0.08,0.06
5711300507308,21,Female,13,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,25,4,NA       ,0.08,0.08,0.07,0.07,0.09,0.06
571130c5cd6e9,24,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,80,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
571130d934bda,22,Female,32,no,twoColorsObj,#FF0000,#FFFF00,#ffa100,244,5,NA       ,0.08,0.08,0.07,0.07,0.1,0.06
57113163e6fb1,20,Female,10,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,380,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
5711338142ff8,23,Male,5,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,195,4,NA       ,0.08,0.08,0.07,0.07,0.09,0.06
571137a34931a,27,Female,25,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,29,3,NA       ,0.08,0.08,0.07,0.07,0.09,0.06
571138253c724,21,Male,8,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,376,4,NA       ,0.08,0.08,0.07,0.07,0.09,0.06
57113a5534205,22,Male,31,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,111,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
57113b7f16c4b,22,Male,31,no,twoColorsObj,#FF0000,#FFFF00,#FF8000,270,5,NA       ,0.07,0.07,0.06,0.06,0.08,0.06
57113de4aed1a,21,Male,31,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,53,3,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
57113e6176346,23,Female,30,no,twoColorsObj,#FF0000,#FFFF00,#FF6F00,31,5,NA       ,0.06,0.06,0.07,0.06,0.07,0.07
