id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#FF0000,#FFFF00,#ffa100,450,5,NA       
57113b7f16c4b,twoColorsObj,#FF0000,#FFFF00,#FF8000,270,5,NA       
