id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#00FF00,#FFFF00,#aeff00,240,5,NA       
57113b7f16c4b,twoColorsObj,#00FF00,#FFFF00,#80FF00,88,3,DK-Green 
