id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc5a7829c,twoColorsObj,#00FF00,#FFFF00,#808000,65,4,NA       ,0.15,0.15,0.12,0.09,0.14,0.12
5710cd99df604,twoColorsObj,#00FF00,#FFFF00,#00FFFF,263,3,NA       ,0.21,0.21,0.21,0.19,0.22,0.21
5710cd9d571f2,twoColorsObj,#00FF00,#FFFF00,#91c01d,213,1,NA       ,0.12,0.12,0.09,0.06,0.11,0.09
5710ce6c1308c,twoColorsObj,#00FF00,#FFFF00,#B1FF00,180,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5710ceb320fdf,twoColorsObj,#00FF00,#FFFF00,#00FF80,182,2,NA       ,0.11,0.11,0.1,0.08,0.11,0.1
5710cf445718e,twoColorsObj,#00FF00,#FFFF00,#FF6F00,65,3,NA       ,0.25,0.25,0.21,0.18,0.23,0.21
5710d140b7c5a,twoColorsObj,#00FF00,#FFFF00,#B1FF00,133,3,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5710d28fec2d1,twoColorsObj,#00FF00,#FFFF00,#00ffb7,781,1,NA       ,0.15,0.15,0.15,0.13,0.15,0.15
5710d71ff24c3,twoColorsObj,#00FF00,#FFFF00,#00caff,74,5,Blue     ,0.26,0.26,0.26,0.24,0.26,0.26
5710d8ca226a2,twoColorsObj,#00FF00,#FFFF00,#c4ff9e,221,4,NA       ,0.16,0.16,0.13,0.11,0.15,0.14
5710d8d6aecd6,twoColorsObj,#00FF00,#FFFF00,#aeff00,212,3,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5710dc0f49c60,twoColorsObj,#00FF00,#FFFF00,#0000FF,326,5,Navy-Blue,0.41,0.41,0.41,0.39,0.42,0.41
5710e540a9514,twoColorsObj,#00FF00,#FFFF00,#80FF00,201,4,DK-Green ,0.09,0.09,0.06,0.03,0.08,0.06
5710e5bc55564,twoColorsObj,#00FF00,#FFFF00,#0000FF,120,3,Navy-Blue,0.41,0.41,0.41,0.39,0.42,0.41
5710e60f69205,twoColorsObj,#00FF00,#FFFF00,#00caff,80,4,Blue     ,0.26,0.26,0.26,0.24,0.26,0.26
5710ee3fd83e6,twoColorsObj,#00FF00,#FFFF00,#FF6755,7,1,NA       ,0.25,0.25,0.22,0.19,0.24,0.22
5710ffa5dd7be,twoColorsObj,#00FF00,#FFFF00,#aeff00,410,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57110028bc74b,twoColorsObj,#00FF00,#FFFF00,#91c01d,134,2,NA       ,0.12,0.12,0.09,0.06,0.11,0.09
571103343658b,twoColorsObj,#00FF00,#FFFF00,#00acff,61,3,Cyan     ,0.29,0.29,0.29,0.27,0.29,0.29
5711106ab212a,twoColorsObj,#00FF00,#FFFF00,#FF6F00,30,3,NA       ,0.25,0.25,0.21,0.18,0.23,0.21
5711148c11035,twoColorsObj,#00FF00,#FFFF00,#aeff00,472,5,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57111f6c42412,twoColorsObj,#00FF00,#FFFF00,#808000,536,5,NA       ,0.15,0.15,0.12,0.09,0.14,0.12
57111f6c42412,twoColorsObj,#00FF00,#FFFF00,#FB0080,666,1,NA       ,0.29,0.29,0.26,0.23,0.28,0.26
57112a657ac25,twoColorsObj,#00FF00,#FFFF00,#aeff00,133,2,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57112b9e10661,twoColorsObj,#00FF00,#FFFF00,#8080FF,43,2,NA       ,0.32,0.32,0.31,0.29,0.32,0.31
57112cec29456,twoColorsObj,#00FF00,#FFFF00,#B1FF00,236,3,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57112d73dfafe,twoColorsObj,#00FF00,#FFFF00,#00FF80,198,1,NA       ,0.11,0.11,0.1,0.08,0.11,0.1
57112d8509632,twoColorsObj,#00FF00,#FFFF00,#c9ab00,400,1,NA       ,0.17,0.17,0.14,0.1,0.16,0.14
57112da850667,twoColorsObj,#00FF00,#FFFF00,#aeff00,146,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57112da850667,twoColorsObj,#00FF00,#FFFF00,#B1FF00,200,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57112e1a2bbbb,twoColorsObj,#00FF00,#FFFF00,#aeff00,267,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57112ebc85ba1,twoColorsObj,#00FF00,#FFFF00,#91c01d,189,2,NA       ,0.12,0.12,0.09,0.06,0.11,0.09
57112edad4a17,twoColorsObj,#00FF00,#FFFF00,#00ffb7,118,2,NA       ,0.15,0.15,0.15,0.13,0.15,0.15
57112f57403ee,twoColorsObj,#00FF00,#FFFF00,#80FF00,187,5,DK-Green ,0.09,0.09,0.06,0.03,0.08,0.06
571130c5cd6e9,twoColorsObj,#00FF00,#FFFF00,#B1FF00,188,5,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571130d934bda,twoColorsObj,#00FF00,#FFFF00,#B1FF00,311,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57113163e6fb1,twoColorsObj,#00FF00,#FFFF00,#B1FF00,97,5,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5711348e42f02,twoColorsObj,#00FF00,#FFFF00,#B1FF00,157,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571137a34931a,twoColorsObj,#00FF00,#FFFF00,#B1FF00,354,2,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
57113ce1334e0,twoColorsObj,#00FF00,#FFFF00,#00FF80,225,3,NA       ,0.11,0.11,0.1,0.08,0.11,0.1
57113d4d93c81,twoColorsObj,#00FF00,#FFFF00,#00caff,82,4,Blue     ,0.26,0.26,0.26,0.24,0.26,0.26
57113de4aed1a,twoColorsObj,#00FF00,#FFFF00,#00FFFF,70,3,NA       ,0.21,0.21,0.21,0.19,0.22,0.21
571153ca15566,twoColorsObj,#00FF00,#FFFF00,#c9ab00,13,3,NA       ,0.17,0.17,0.14,0.1,0.16,0.14
571154184c9bd,twoColorsObj,#00FF00,#FFFF00,#B1FF00,30,5,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571158157bb3c,twoColorsObj,#00FF00,#FFFF00,#aeff00,657,3,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5711641931da5,twoColorsObj,#00FF00,#FFFF00,#B1FF00,123,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571165992a5c1,twoColorsObj,#00FF00,#FFFF00,#91c01d,165,2,NA       ,0.12,0.12,0.09,0.06,0.11,0.09
57116b9b879bf,twoColorsObj,#00FF00,#FFFF00,#0000FF,3,3,Navy-Blue,0.41,0.41,0.41,0.39,0.42,0.41
5711703bd85fc,twoColorsObj,#00FF00,#FFFF00,#91c01d,100,5,NA       ,0.12,0.12,0.09,0.06,0.11,0.09
5711800f2c5f3,twoColorsObj,#00FF00,#FFFF00,#808000,99,3,NA       ,0.15,0.15,0.12,0.09,0.14,0.12
571183866d73f,twoColorsObj,#00FF00,#FFFF00,#0000FF,86,5,Navy-Blue,0.41,0.41,0.41,0.39,0.42,0.41
57119224388ef,twoColorsObj,#00FF00,#FFFF00,#0080FF,230,5,Sky-Blue ,0.34,0.34,0.34,0.32,0.34,0.34
5711ace2ee7ed,twoColorsObj,#00FF00,#FFFF00,#B1FF00,123,5,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5711cbde51bb0,twoColorsObj,#00FF00,#FFFF00,#aeff00,153,3,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571214121717c,twoColorsObj,#00FF00,#FFFF00,#aeff00,233,2,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5712197fbccd5,twoColorsObj,#00FF00,#FFFF00,#808000,5,2,NA       ,0.15,0.15,0.12,0.09,0.14,0.12
57121e2a63601,twoColorsObj,#00FF00,#FFFF00,#0000FF,37,5,Navy-Blue,0.41,0.41,0.41,0.39,0.42,0.41
57122801e1da9,twoColorsObj,#00FF00,#FFFF00,#c9ab00,48,2,NA       ,0.17,0.17,0.14,0.1,0.16,0.14
57123bec83e8e,twoColorsObj,#00FF00,#FFFF00,#0080FF,109,4,Sky-Blue ,0.34,0.34,0.34,0.32,0.34,0.34
57123e4050550,twoColorsObj,#00FF00,#FFFF00,#80FF00,129,4,DK-Green ,0.09,0.09,0.06,0.03,0.08,0.06
571243bcc8142,twoColorsObj,#00FF00,#FFFF00,#B1FF00,291,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571247f66fb51,twoColorsObj,#00FF00,#FFFF00,#aeff00,282,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571252b436ab0,twoColorsObj,#00FF00,#FFFF00,#FF9F00,471,1,NA       ,0.21,0.21,0.17,0.14,0.2,0.18
571252e6d2e70,twoColorsObj,#00FF00,#FFFF00,#aeff00,170,5,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571260c120253,twoColorsObj,#00FF00,#FFFF00,#aeff00,311,2,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5712649f2fada,twoColorsObj,#00FF00,#FFFF00,#0000FF,207,4,Navy-Blue,0.41,0.41,0.41,0.39,0.42,0.41
5712787a337a9,twoColorsObj,#00FF00,#FFFF00,#0080FF,83,4,Sky-Blue ,0.34,0.34,0.34,0.32,0.34,0.34
57127bcfaafb0,twoColorsObj,#00FF00,#FFFF00,#00FF80,148,3,NA       ,0.11,0.11,0.1,0.08,0.11,0.1
57127cb3ab1fe,twoColorsObj,#00FF00,#FFFF00,#B1FF00,195,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
571290e28820b,twoColorsObj,#00FF00,#FFFF00,#00ffb7,128,4,NA       ,0.15,0.15,0.15,0.13,0.15,0.15
5712bd55a8a13,twoColorsObj,#00FF00,#FFFF00,#aeff00,183,4,NA       ,0.11,0.11,0.08,0.05,0.1,0.08
5712c2b021f58,twoColorsObj,#00FF00,#FFFF00,#00ffb7,159,4,NA       ,0.15,0.15,0.15,0.13,0.15,0.15
