id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc5a7829c,twoColorsObj,#FF00FF,#FFFF00,#FF0050,361,3,NA       ,0.15,0.15,0.06,0.06,0.02,0.06
5710cd99df604,twoColorsObj,#FF00FF,#FFFF00,#FF6755,95,3,NA       ,0.18,0.18,0.08,0.02,0.02,0.03
5710ce6c1308c,twoColorsObj,#FF00FF,#FFFF00,#FF6755,156,4,NA       ,0.18,0.18,0.08,0.02,0.02,0.03
5710cf445718e,twoColorsObj,#FF00FF,#FFFF00,#FF0050,66,3,NA       ,0.15,0.15,0.06,0.06,0.02,0.06
5710d140b7c5a,twoColorsObj,#FF00FF,#FFFF00,#FF8080,307,3,NA       ,0.21,0.21,0.12,0.05,0.06,0
5710d28fec2d1,twoColorsObj,#FF00FF,#FFFF00,#c6aeff,513,1,NA       ,0.33,0.33,0.24,0.17,0.18,0.13
5710d71ff24c3,twoColorsObj,#FF00FF,#FFFF00,#ffa6a6,46,5,NA       ,0.25,0.25,0.15,0.08,0.09,0.04
5710d9dcc23f0,twoColorsObj,#FF00FF,#FFFF00,#FF8080,27,2,NA       ,0.21,0.21,0.12,0.05,0.06,0
5710dc0f49c60,twoColorsObj,#FF00FF,#FFFF00,#ffa6a6,480,2,NA       ,0.25,0.25,0.15,0.08,0.09,0.04
5710e540a9514,twoColorsObj,#FF00FF,#FFFF00,#008080,88,1,NA       ,0.35,0.35,0.26,0.18,0.2,0.14
5710e60f69205,twoColorsObj,#FF00FF,#FFFF00,#FF0050,654,3,NA       ,0.15,0.15,0.06,0.06,0.02,0.06
5710e9f31cdc4,twoColorsObj,#FF00FF,#FFFF00,#FF0000,958,3,NA       ,0.12,0.12,0.03,0.06,0.03,0.09
5710ee55dcd72,twoColorsObj,#FF00FF,#FFFF00,#FF8080,467,2,NA       ,0.21,0.21,0.12,0.05,0.06,0
