id;typeOfQuestion;first_color;second_color;third_color;clicks;page_time;rating;resets;id_question
57113a5534205;objTwoColors;#FF0080;4;223;370;10;5;0;5
57113a5534205;objTwoColors;#FF8000;4;54;123;24;5;0;6
57113a5534205;objTwoColors;#0000FF;234;233;283;20;5;0;7
57113a5534205;objTwoColors;#FF0000;7;10;180;11;5;0;8
57113a5534205;objTwoColors;#00FF80;44;242;411;24;4;0;9
57113a5534205;objTwoColors;#0080FF;236;0;135;13;5;0;10
57113a5534205;objTwoColors;#FF8000;4;55;102;17;5;0;11
57113a5534205;objTwoColors;#80FF00;59;219;492;20;5;0;12
57113a5534205;objTwoColors;#0080FF;238;0;113;12;5;0;13
57113a5534205;objTwoColors;#8000FF;238;3;180;10;5;0;14
57113a5534205;objTwoColors;#00FF80;53;212;649;50;4;0;15
57113a5534205;objTwoColors;#FF007F;5;223;410;22;5;0;16
57113a5534205;objTwoColors;#00FF00;53;235;211;12;5;0;17
57113a5534205;twoColorsObj;#FF0000;#00FF00;#c9b2a2;495;34;1;0;18
57113a5534205;twoColorsObj;#FF0000;#0000FF;#8000FF;139;7;5;0;19
57113a5534205;twoColorsObj;#00FF00;#0000FF;#46ff9c;223;9;4;0;20
57113a5534205;twoColorsObj;#FF0000;#00FFFF;#ab00ff;580;45;3;0;21
57113a5534205;twoColorsObj;#FF0000;#FF00FF;#FB0080;341;20;4;0;22
57113a5534205;twoColorsObj;#FF0000;#FFFF00;#FF6F00;111;14;5;0;23
57113a5534205;twoColorsObj;#00FFFF;#FF00FF;#c9b2a2;320;35;2;0;24
57113a5534205;twoColorsObj;#FF00FF;#FFFF00;#FF6755;2226;100;3;0;25
57113a5534205;twoColorsObj;#00FF00;#00FFFF;#00FF80;266;20;5;0;26
57113a5534205;twoColorsObj;#00FF00;#FF00FF;#808080;354;17;4;0;27
57113a5534205;twoColorsObj;#00FF00;#FFFF00;#B1FF00;261;55;3;0;28
57113a5534205;twoColorsObj;#0000FF;#00FFFF;#008080;702;30;4;0;29
57113a5534205;twoColorsObj;#0000FF;#FF00FF;#808080;211;5;4;0;30
57113a5534205;twoColorsObj;#0000FF;#FFFF00;#00FF00;238;16;5;0;31
57113a5534205;twoColorsObj;#00FFFF;#FFFF00;#00FF80;259;22;4;0;32
571123dc69a60;twoColorsObj;#00FF00;#0000FF;#00ffb7;287;35;3;0;20
571123dc69a60;twoColorsObj;#FF0000;#FF00FF;#ff0087;477;28;4;0;22
571123dc69a60;twoColorsObj;#00FF00;#FF00FF;#ffa6a6;252;20;1;0;27
571123dc69a60;twoColorsObj;#00FF00;#FFFF00;#c4ff9e;221;22;3;0;28
