id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#00FFFF,#FFFF00,#46ff9c,147,5,NA       
57113b7f16c4b,twoColorsObj,#00FFFF,#FFFF00,#80FF00,82,4,DK-Green 
