id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#00FF00,#00FFFF,#8080FF,240,2,NA       
57113b7f16c4b,twoColorsObj,#00FF00,#00FFFF,#00ffb7,453,3,NA       
