id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
57113a5534205,objTwoColors,#00FF80,53,212,649,4,Green    ,Blue     ,0.95,0.09,0.27,0.03,0.05,0.05,0.6,0.61,0.6,0.61,0.61,0.4,0.4,0.28,0.4,0.4,0.49,0.5
571289ef76e18,objTwoColors,#00FF80,68,214,500,4,Yellow   ,Blue     ,0.97,0.06,0.31,0.04,0.07,0.07,0.55,0.56,0.56,0.56,0.56,0.35,0.35,0.24,0.35,0.35,0.56,0.57
57149713464b1,objTwoColors,#00FF80,0,0,0,1,Red      ,Red      ,0.83,0.39,0.07,0.24,0.3,0.25,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4
