Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.3,0.56,0.06,0.3,0.34,0.3,0.35,0.4,0.05,0.32,0.45,0.09,0.34,0.41,0.11
Online Users (Regular),0.31,0.53,0.04,0.3,0.33,0.3,0.35,0.4,0.04,0.31,0.44,0.08,0.33,0.41,0.11
Online Users (Uncalibrated),0.41,0.49,0.12,0.39,0.34,0.21,0.43,0.36,0.06,0.42,0.38,0.07,0.44,0.34,0.05
Users aged Less Than 20 Years,0.33,0.52,0.05,0.34,0.33,0.26,0.37,0.39,0.03,0.33,0.42,0.07,0.35,0.4,0.1
Users aged Between 20 and 29 Years,0.35,0.52,0.06,0.33,0.33,0.27,0.39,0.4,0.04,0.35,0.44,0.08,0.37,0.42,0.11
Users aged Between 30 and 39 Years,0.34,0.56,0.08,0.31,0.35,0.29,0.39,0.41,0.05,0.35,0.47,0.11,0.37,0.44,0.13
Users aged Between 40 and 49 Years,0.36,0.53,0.08,0.35,0.33,0.25,0.41,0.39,0.04,0.37,0.43,0.07,0.4,0.4,0.09
Users aged Between 50 and 59 Years,0.36,0.54,0.08,0.38,0.35,0.22,0.4,0.39,0.04,0.37,0.43,0.08,0.39,0.39,0.08
Users aged Above 60 Years,0.37,0.51,0.08,0.32,0.33,0.28,0.39,0.4,0.04,0.33,0.41,0.06,0.37,0.4,0.09
Female Users,0.35,0.52,0.07,0.36,0.34,0.24,0.39,0.4,0.04,0.36,0.43,0.07,0.38,0.41,0.1
Male Users,0.34,0.52,0.06,0.31,0.33,0.29,0.38,0.4,0.04,0.35,0.44,0.08,0.37,0.42,0.11
Other Gender Users,0.29,0.58,0.09,0.26,0.4,0.35,0.31,0.42,0.08,0.29,0.51,0.16,0.29,0.5,0.21
