id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#00FF80,1,122,461,5,Red      ,Green    
57113b7f16c4b,objTwoColors,#00FF80,60,202,387,4,Green    ,Navy-Blue
