id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#00FF80,0,145,637,3,0.04,DK-Green 
5713a02a13044,objTwoColors,#00FF80,5,0,287,4,0.38,Red      
572767049ccfa,objTwoColors,#00FF80,158,0,109,4,0.05,Cyan     
573a0b8280839,objTwoColors,#00FF80,0,37,211,3,0.23,Yellow   
573c783748e8b,objTwoColors,#00FF80,142,0,350,3,0.05,Green    
573e4022949b1,objTwoColors,#00FF80,149,0,108,5,0.02,Teal     
573e4d0eb795b,objTwoColors,#00FF80,145,0,200,3,0.04,DK-Green 
5740a8b59d448,objTwoColors,#00FF80,130,0,531,5,0.09,Green    
5740ad339507d,objTwoColors,#00FF80,117,0,136,3,0.11,Green    
5740b0f8e9734,objTwoColors,#00FF80,152,0,347,4,0.02,Teal     
5740e3f36a945,objTwoColors,#00FF80,154,0,45,3,0.03,Teal     
5757fd2703090,objTwoColors,#00FF80,133,0,109,2,0.09,Green    
5710cc5a7829c,objTwoColors,#00FF80,148,0,189,4,0.02,NA       
5710cd99df604,objTwoColors,#00FF80,155,0,82,4,0.03,Cyan     
5710ceb320fdf,objTwoColors,#00FF80,0,142,98,4,0.05,Green    
5710d140b7c5a,objTwoColors,#00FF80,97,0,171,5,0.09,Green    
5710d28fec2d1,objTwoColors,#00FF80,0,129,792,1,0.1,Green    
5710d9dcc23f0,objTwoColors,#00FF80,106,0,101,3,0.1,Green    
5710dc0f49c60,objTwoColors,#00FF80,0,141,1177,5,0.06,Green    
57110028bc74b,objTwoColors,#00FF80,0,143,262,2,0.05,Green    
571103343658b,objTwoColors,#00FF80,0,146,141,5,0.03,DK-Green 
57111f6c42412,objTwoColors,#00FF80,146,0,1281,5,0.03,DK-Green 
571128aba60e2,objTwoColors,#00FF80,0,100,465,3,0.1,Green    
57112a657ac25,objTwoColors,#00FF80,1,0,499,3,0.39,Red      
571154184c9bd,objTwoColors,#00FF80,132,0,16,1,0.09,Green    
5711602ded5e3,objTwoColors,#00FF80,0,0,0,5,0.39,Red      
57116ce8cf9e5,objTwoColors,#00FF80,0,136,236,4,0.08,Green    
571210e10d88b,objTwoColors,#00FF80,152,0,396,5,0.02,Teal     
5712197fbccd5,objTwoColors,#00FF80,0,171,75,2,0.13,Green    
571252e6d2e70,objTwoColors,#00FF80,125,0,124,5,0.1,Green    
5712a254e00f7,objTwoColors,#00FF80,0,159,493,2,0.05,Green    
5713e73998df9,objTwoColors,#00FF80,149,0,132,5,0.02,Teal     
5714d563c6e52,objTwoColors,#00FF80,0,150,921,1,0.02,Teal     
57153d9a56ce0,objTwoColors,#00FF80,0,164,47,5,0.08,Green    
57153eb9b4bed,objTwoColors,#00FF80,0,131,41,5,0.09,Green    
57366c199283c,objTwoColors,#00FF80,0,147,150,5,0.03,NA       
5738cf3d97a58,objTwoColors,#00FF80,0,161,625,2,0.07,Green    
57427cf6bad0c,objTwoColors,#00FF80,0,156,3,3,0.04,Cyan     
57451c3b38192,objTwoColors,#00FF80,0,150,462,5,0.02,Teal     
5745500f6e643,objTwoColors,#00FF80,109,0,194,3,0.1,Green    
5745f6f039dc9,objTwoColors,#00FF80,0,0,0,4,0.39,Red      
