id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
57127bcfaafb0,objTwoColors,#00FF80,56,186,1308,5,Green    ,Cyan     ,0.8,0.11,0.28,0.06,0.11,0.11,0.44,0.45,0.45,0.45,0.45,0.23,0.23,0.17,0.23,0.23,0.35,0.35
57127cb3ab1fe,objTwoColors,#00FF80,120,177,621,2,Green    ,Blue     ,0.8,0.02,0.41,0.08,0.15,0.19,0.27,0.28,0.35,0.28,0.28,0.05,0.05,0.16,0.05,0.05,0.46,0.47
571290e28820b,objTwoColors,#00FF80,57,200,85,5,Green    ,Navy-Blue,0.88,0.1,0.28,0.04,0.08,0.08,0.51,0.53,0.51,0.53,0.53,0.3,0.32,0.19,0.31,0.32,0.43,0.45
5712bd55a8a13,objTwoColors,#00FF80,201,58,219,3,Navy-Blue,Green    ,0.16,0.09,0.26,0.04,0.08,0.08,0.41,0.42,0.36,0.42,0.42,0.62,0.63,0.64,0.63,0.63,0.69,0.69
5712c1176d5f8,objTwoColors,#00FF80,236,114,259,4,Blue     ,Green    ,0.16,0.15,0.36,0.11,0.12,0.11,0.7,0.72,0.66,0.73,0.72,0.79,0.8,0.83,0.8,0.8,0.8,0.8
5712c2b021f58,objTwoColors,#00FF80,186,59,108,5,Cyan     ,Green    ,0.24,0.1,0.3,0.06,0.12,0.12,0.31,0.33,0.27,0.34,0.33,0.53,0.54,0.55,0.54,0.54,0.65,0.65
5712c57f97f25,objTwoColors,#00FF80,59,73,340,4,Green    ,Yellow   ,0.56,0.12,0.29,0.12,0.17,0.2,0.18,0.2,0.21,0.21,0.2,0.34,0.35,0.45,0.35,0.35,0.49,0.49
5713b10383207,objTwoColors,#00FF80,211,57,99,5,Blue     ,Green    ,0.09,0.08,0.25,0.03,0.06,0.06,0.47,0.48,0.41,0.48,0.48,0.68,0.69,0.71,0.69,0.69,0.72,0.73
5713ce8c57c5e,objTwoColors,#00FF80,209,58,174,5,NA       ,Green    ,0.11,0.08,0.25,0.03,0.07,0.06,0.46,0.47,0.41,0.47,0.47,0.67,0.68,0.69,0.68,0.68,0.71,0.72
5713fc80c942a,objTwoColors,#00FF80,184,59,175,5,Blue     ,Green    ,0.25,0.1,0.31,0.06,0.12,0.12,0.3,0.32,0.26,0.33,0.32,0.52,0.53,0.54,0.53,0.53,0.64,0.65
5716e9900f6ea,objTwoColors,#00FF80,55,184,133,3,Green    ,Blue     ,0.79,0.11,0.28,0.06,0.11,0.12,0.43,0.44,0.44,0.44,0.44,0.22,0.22,0.18,0.22,0.22,0.33,0.34
57190633f233f,objTwoColors,#00FF80,109,169,456,1,Green    ,Green    ,0.76,0.06,0.4,0.08,0.16,0.21,0.23,0.24,0.3,0.25,0.24,0.04,0.05,0.2,0.04,0.05,0.45,0.46
