id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5710ee9e58646,objTwoColors,#00FF80,101,198,510,4,Green    ,Navy-Blue,0.91,0.02,0.39,0.09,0.12,0.15,0.36,0.38,0.44,0.38,0.38,0.15,0.16,0.11,0.16,0.16,0.57,0.57
571151812791a,objTwoColors,#00FF80,59,228,90,3,Green    ,Blue     ,1.01,0.04,0.28,0.03,0.04,0.04,0.63,0.65,0.64,0.65,0.65,0.44,0.45,0.33,0.45,0.45,0.59,0.59
572c85675a5ef,objTwoColors,#00FF80,104,59,485,3,Green    ,Green    ,0.55,0.09,0.4,0.11,0.2,0.23,0.01,0.02,0.1,0.03,0.02,0.23,0.23,0.38,0.23,0.23,0.64,0.65
573a059da0efd,objTwoColors,#00FF80,199,63,181,5,Navy-Blue,Green    ,0.17,0.09,0.27,0.04,0.09,0.1,0.4,0.42,0.37,0.43,0.42,0.61,0.61,0.63,0.62,0.61,0.68,0.68
573c70dabcfe0,objTwoColors,#00FF80,74,246,321,3,Yellow   ,Blue     ,1.04,0.06,0.32,0.07,0.08,0.07,0.6,0.61,0.6,0.61,0.61,0.4,0.4,0.29,0.4,0.4,0.65,0.66
573e47c26cb8e,objTwoColors,#00FF80,38,201,76,2,Yellow   ,Navy-Blue,0.88,0.11,0.22,0.02,0.04,0.04,0.61,0.62,0.61,0.62,0.62,0.41,0.41,0.28,0.41,0.41,0.34,0.35
573edae85268b,objTwoColors,#00FF80,79,146,496,4,Yellow   ,DK-Green ,0.67,0.1,0.35,0.09,0.19,0.24,0.2,0.21,0.25,0.22,0.21,0.22,0.22,0.34,0.22,0.22,0.51,0.52
5740b686127bb,objTwoColors,#00FF80,168,58,127,4,Green    ,Green    ,0.35,0.1,0.35,0.07,0.13,0.16,0.21,0.23,0.17,0.23,0.23,0.42,0.44,0.45,0.44,0.44,0.62,0.63
5740bda9be3dc,objTwoColors,#00FF80,66,188,458,5,Yellow   ,Cyan     ,0.82,0.1,0.31,0.06,0.12,0.13,0.41,0.42,0.42,0.42,0.42,0.2,0.2,0.12,0.2,0.2,0.39,0.4
574859b8f3379,objTwoColors,#00FF80,183,52,121,4,Blue     ,Green    ,0.29,0.11,0.31,0.06,0.11,0.11,0.32,0.33,0.23,0.32,0.33,0.52,0.52,0.54,0.53,0.52,0.65,0.65
5756ab1701ba0,objTwoColors,#00FF80,2,93,134,5,Red      ,Green    ,0.67,0.18,0.07,0.1,0.16,0.18,0.53,0.53,0.54,0.54,0.53,0.63,0.63,0.72,0.63,0.63,0.22,0.23
5756ae6897296,objTwoColors,#00FF80,182,50,415,3,Blue     ,Green    ,0.3,0.11,0.31,0.07,0.11,0.11,0.32,0.34,0.23,0.33,0.34,0.51,0.53,0.54,0.53,0.53,0.65,0.66
5756b2d9bd658,objTwoColors,#00FF80,149,172,269,4,Teal     ,Green    ,0.69,0.06,0.39,0.07,0.11,0.18,0.32,0.34,0.28,0.34,0.34,0.1,0.12,0.14,0.11,0.12,0.42,0.43
5757ffca0b4b1,objTwoColors,#00FF80,67,181,205,4,Yellow   ,Blue     ,0.79,0.1,0.31,0.06,0.13,0.14,0.37,0.39,0.38,0.39,0.39,0.15,0.16,0.16,0.16,0.16,0.36,0.36
57581518c2c07,objTwoColors,#00FF80,55,207,69,4,Green    ,Navy-Blue,0.92,0.09,0.28,0.03,0.06,0.06,0.56,0.57,0.56,0.57,0.57,0.36,0.36,0.24,0.36,0.36,0.47,0.48
57582b17cd76a,objTwoColors,#00FF80,59,209,52,3,Green    ,NA       ,0.93,0.08,0.29,0.03,0.07,0.07,0.55,0.57,0.56,0.57,0.57,0.35,0.36,0.24,0.36,0.36,0.5,0.5
