id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710e540a9514,52,Female,32,no,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,106,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5711800f2c5f3,59,Female,31,no,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,97,3,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
571289ef76e18,55,Female,31,no,twoColorsObj,#00FFFF,#FF00FF,#008080,495,4,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
57142079d871e,51,Male,8,no,twoColorsObj,#00FFFF,#FF00FF,#800080,155,1,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
57149713464b1,51,Female,32,no,twoColorsObj,#00FFFF,#FF00FF,#FFFFFF,0,1,NA       ,0.35,0.35,0.14,0.09,0.19,0.09
571534076a966,52,Male,9,no,twoColorsObj,#00FFFF,#FF00FF,#80FF00,209,3,DK-Green ,0.49,0.49,0.26,0.23,0.33,0.24
5716e9900f6ea,58,Female,31,no,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,131,5,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5739ff85289b2,56,Female,25,yes,twoColorsObj,#00FFFF,#FF00FF,#8342FF,169,2,NA       ,0.18,0.18,0.07,0.08,0.02,0.08
