id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5711cbde51bb0,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,160,2,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5711eaec4b831,twoColorsObj,#00FFFF,#FF00FF,#8080FF,123,3,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
571214121717c,twoColorsObj,#00FFFF,#FF00FF,#8080FF,128,1,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5712197fbccd5,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,76,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
57121e2a63601,twoColorsObj,#00FFFF,#FF00FF,#8000FF,38,2,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57122801e1da9,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,83,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57123bec83e8e,twoColorsObj,#00FFFF,#FF00FF,#8080FF,1,5,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
57123e4050550,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,154,2,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
57123e4050550,twoColorsObj,#00FFFF,#FF00FF,#ca8aaa,160,3,NA       ,0.34,0.34,0.14,0.08,0.18,0.08
571243bcc8142,twoColorsObj,#00FFFF,#FF00FF,#8000FF,183,5,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
571247f66fb51,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,637,1,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
571252e6d2e70,twoColorsObj,#00FFFF,#FF00FF,#B000FF,110,5,NA       ,0.2,0.2,0.08,0.07,0.04,0.06
571260c120253,twoColorsObj,#00FFFF,#FF00FF,#FF8080,83,3,NA       ,0.39,0.39,0.21,0.14,0.24,0.14
57127bcfaafb0,twoColorsObj,#00FFFF,#FF00FF,#91c01d,139,2,NA       ,0.47,0.47,0.25,0.21,0.31,0.22
57127cb3ab1fe,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,66,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
571290e28820b,twoColorsObj,#00FFFF,#FF00FF,#008080,49,2,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
5712a254e00f7,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,147,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5712bd55a8a13,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,126,1,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
5712c2b021f58,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,113,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5712c57f97f25,twoColorsObj,#00FFFF,#FF00FF,#ca0088,83,1,NA       ,0.33,0.33,0.18,0.1,0.18,0.09
57138ac176750,twoColorsObj,#00FFFF,#FF00FF,#8000FF,110,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5713923c1bbc7,twoColorsObj,#00FFFF,#FF00FF,#c9ab00,26,2,NA       ,0.46,0.46,0.25,0.2,0.31,0.21
5713b10383207,twoColorsObj,#00FFFF,#FF00FF,#800080,262,2,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
5713fc80c942a,twoColorsObj,#00FFFF,#FF00FF,#ff0087,208,2,NA       ,0.37,0.37,0.21,0.14,0.22,0.13
57142079d871e,twoColorsObj,#00FFFF,#FF00FF,#800080,155,1,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
5714c6c26c2f6,twoColorsObj,#00FFFF,#FF00FF,#0080FF,160,4,Sky-Blue ,0.2,0.2,0.04,0.08,0.06,0.09
571534076a966,twoColorsObj,#00FFFF,#FF00FF,#80FF00,209,3,DK-Green ,0.49,0.49,0.26,0.23,0.33,0.24
57153eb9b4bed,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,500,2,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5715ea836193d,twoColorsObj,#00FFFF,#FF00FF,#8080FF,127,1,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5715f69931d4c,twoColorsObj,#00FFFF,#FF00FF,#ff0087,566,2,NA       ,0.37,0.37,0.21,0.14,0.22,0.13
5716e9900f6ea,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,131,5,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57190633f233f,twoColorsObj,#00FFFF,#FF00FF,#80FF00,146,4,DK-Green ,0.49,0.49,0.26,0.23,0.33,0.24
57276995206d6,twoColorsObj,#00FFFF,#FF00FF,#008080,61,3,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
5727e49793f7b,twoColorsObj,#00FFFF,#FF00FF,#ab00ff,654,2,NA       ,0.19,0.19,0.08,0.07,0.04,0.07
5734918f46823,twoColorsObj,#00FFFF,#FF00FF,#FB0080,183,1,NA       ,0.37,0.37,0.22,0.14,0.23,0.14
5734d89183dab,twoColorsObj,#00FFFF,#FF00FF,#8080FF,390,2,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5734e397122ce,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,269,2,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5735d3455a84c,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,568,2,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5736048bb110b,twoColorsObj,#00FFFF,#FF00FF,#ca8aaa,155,5,NA       ,0.34,0.34,0.14,0.08,0.18,0.08
573634984323e,twoColorsObj,#00FFFF,#FF00FF,#ffa6a6,1099,1,NA       ,0.37,0.37,0.18,0.12,0.22,0.12
573664e1a4a96,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,237,3,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57366c199283c,twoColorsObj,#00FFFF,#FF00FF,#ffa6a6,56,3,NA       ,0.37,0.37,0.18,0.12,0.22,0.12
5738cf3d97a58,twoColorsObj,#00FFFF,#FF00FF,#FF8080,714,1,NA       ,0.39,0.39,0.21,0.14,0.24,0.14
57427cf6bad0c,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,52,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
574297edae49c,twoColorsObj,#00FFFF,#FF00FF,#8080FF,89,2,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5744dce84ffa5,twoColorsObj,#00FFFF,#FF00FF,#FFFF00,722,1,NA       ,0.47,0.47,0.25,0.21,0.31,0.21
574511e99b6d9,twoColorsObj,#00FFFF,#FF00FF,#8000FF,241,2,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57451c3b38192,twoColorsObj,#00FFFF,#FF00FF,#ab00ff,730,4,NA       ,0.19,0.19,0.08,0.07,0.04,0.07
5745350dc1e22,twoColorsObj,#00FFFF,#FF00FF,#ab00ff,436,3,NA       ,0.19,0.19,0.08,0.07,0.04,0.07
5745500f6e643,twoColorsObj,#00FFFF,#FF00FF,#8080FF,216,2,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
57459c393bbd0,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,114,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5745b5cbe3caa,twoColorsObj,#00FFFF,#FF00FF,#5792ff,780,3,Sky-Blue ,0.23,0.23,0.03,0.05,0.08,0.06
5745c1c07cc0c,twoColorsObj,#00FFFF,#FF00FF,#00caff,995,2,Blue     ,0.28,0.28,0.05,0.06,0.13,0.07
5745f6f039dc9,twoColorsObj,#00FFFF,#FF00FF,#FFFFFF,0,5,NA       ,0.35,0.35,0.14,0.09,0.19,0.09
574628a9e94a1,twoColorsObj,#00FFFF,#FF00FF,#008080,873,2,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
