id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,363,5,NA       
57113b7f16c4b,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,147,4,NA       
