id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#80FF00,0,147,422,4,0.08,NA       
5713a02a13044,objTwoColors,#80FF00,150,0,326,2,0.09,Teal     
573a0b8280839,objTwoColors,#80FF00,0,33,27,3,0.25,Orange   
573e4022949b1,objTwoColors,#80FF00,120,0,113,5,0.05,Green    
573e4d0eb795b,objTwoColors,#80FF00,102,0,127,4,0.03,Green    
5740b0f8e9734,objTwoColors,#80FF00,115,0,65,4,0.04,Green    
5757fd2703090,objTwoColors,#80FF00,143,0,163,5,0.06,Green    
5757ffca0b4b1,objTwoColors,#80FF00,131,0,180,3,0.04,Green    
5710cc5a7829c,objTwoColors,#80FF00,91,0,122,5,0,Green    
5710cd99df604,objTwoColors,#80FF00,80,0,143,3,0.03,Yellow   
5710d28fec2d1,objTwoColors,#80FF00,0,84,211,1,0.02,DK-Green 
57110028bc74b,objTwoColors,#80FF00,0,73,161,5,0.06,Yellow   
57111f6c42412,objTwoColors,#80FF00,85,0,655,5,0.01,DK-Green 
57113d4d93c81,objTwoColors,#80FF00,132,0,129,5,0.04,Green    
57113d9cc42b5,objTwoColors,#80FF00,0,0,0,3,0.39,Red      
571154184c9bd,objTwoColors,#80FF00,108,0,29,5,0.04,Green    
57116ce8cf9e5,objTwoColors,#80FF00,0,121,174,2,0.05,Green    
5712197fbccd5,objTwoColors,#80FF00,0,67,118,4,0.08,Yellow   
571245dfd5f63,objTwoColors,#80FF00,97,0,143,4,0.02,Green    
5712bd55a8a13,objTwoColors,#80FF00,91,0,150,3,0,Green    
57153eb9b4bed,objTwoColors,#80FF00,0,102,102,3,0.03,Green    
57451c3b38192,objTwoColors,#80FF00,0,89,105,4,0,Green    
5745b5cbe3caa,objTwoColors,#80FF00,85,0,182,3,0.01,DK-Green 
5745f6f039dc9,objTwoColors,#80FF00,0,0,0,4,0.39,Red      
