id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#80FF00,60,190,239,5,Green    ,Sky-Blue 
57113b7f16c4b,objTwoColors,#80FF00,60,178,300,4,Green    ,Blue     
