id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710cd99df604,23,Female,32,no,objTwoColors,#80FF00,80,0,143,3,Yellow   ,Red      ,0.34,0.2,0.27,0.14,0.19,0.14,0.5,0.49,0.57,0.48,0.49,0.81,0.75,0.75
5710ce6c1308c,23,Female,32,no,objTwoColors,#80FF00,201,55,96,4,Navy-Blue,Green    ,0.42,0.04,0.19,0.13,0.15,0.18,0.19,0.19,0.08,0.18,0.19,0.17,0.69,0.69
5710d71ff24c3,20,Female,32,no,objTwoColors,#80FF00,56,192,213,3,Green    ,Sky-Blue ,0.47,0.04,0.22,0.12,0.12,0.16,0.54,0.55,0.66,0.55,0.55,0.83,0.38,0.39
5710e540a9514,52,Female,32,no,objTwoColors,#80FF00,59,191,171,4,Green    ,Sky-Blue ,0.45,0.04,0.23,0.12,0.12,0.15,0.54,0.55,0.64,0.55,0.55,0.83,0.39,0.39
5710e60f69205,24,Female,31,no,objTwoColors,#80FF00,49,177,249,3,Green    ,Blue     ,0.43,0.04,0.2,0.09,0.11,0.13,0.48,0.49,0.59,0.49,0.49,0.76,0.26,0.27
5710ee9e58646,25,Female,32,yes,objTwoColors,#80FF00,59,208,97,4,Green    ,NA       ,0.55,0.04,0.23,0.15,0.16,0.2,0.64,0.64,0.73,0.64,0.64,0.93,0.49,0.49
57110028bc74b,48,Female,32,no,objTwoColors,#80FF00,0,73,161,5,Red      ,Yellow   ,0.46,0.22,0.27,0.14,0.21,0.16,0.44,0.45,0.51,0.46,0.45,0.6,0.21,0.22
571103343658b,20,Female,32,no,objTwoColors,#80FF00,99,101,299,3,Green    ,Green    ,0.14,0.03,0.3,0.08,0.04,0.07,0.37,0.37,0.51,0.38,0.37,0.68,0.64,0.65
57112b9e10661,64,Female,34,no,objTwoColors,#80FF00,56,206,115,2,Green    ,Navy-Blue,0.55,0.04,0.22,0.14,0.16,0.2,0.62,0.63,0.73,0.63,0.63,0.91,0.47,0.47
57112d8509632,45,Female,32,no,objTwoColors,#80FF00,56,251,286,5,Green    ,Blue     ,0.66,0.36,0.22,0.16,0.27,0.27,0.73,0.74,0.84,0.74,0.74,1.02,0.59,0.59
57112da850667,22,Female,47,no,objTwoColors,#80FF00,52,118,123,5,Green    ,Green    ,0.31,0.01,0.2,0.04,0.01,0.01,0.38,0.38,0.51,0.4,0.38,0.66,0.49,0.49
57112ebc85ba1,18,Female,32,no,objTwoColors,#80FF00,187,57,142,5,Cyan     ,Green    ,0.32,0.05,0.16,0.11,0.11,0.14,0.09,0.1,0.05,0.09,0.1,0.24,0.65,0.65
571130c5cd6e9,24,Female,32,no,objTwoColors,#80FF00,50,190,114,5,Green    ,Sky-Blue ,0.48,0.05,0.2,0.11,0.13,0.16,0.54,0.55,0.65,0.55,0.55,0.82,0.34,0.34
571130d934bda,22,Female,32,no,objTwoColors,#80FF00,58,117,215,4,Green    ,Green    ,0.29,0.01,0.22,0.04,0.01,0.01,0.37,0.38,0.5,0.39,0.38,0.66,0.51,0.52
