id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
571247f66fb51,objTwoColors,#80FF00,143,62,683,5,Green    ,Green    ,0.07,0.03,0.28,0.07,0.03,0.03,0.19,0.2,0.32,0.21,0.2,0.5,0.63,0.63
571252e6d2e70,objTwoColors,#80FF00,57,180,221,5,Green    ,Blue     ,0.4,0.05,0.22,0.1,0.1,0.13,0.48,0.49,0.6,0.5,0.49,0.77,0.32,0.33
571260c120253,objTwoColors,#80FF00,187,44,95,3,Cyan     ,Yellow   ,0.38,0.04,0.16,0.11,0.13,0.16,0.15,0.16,0.07,0.14,0.16,0.3,0.68,0.67
57127bcfaafb0,objTwoColors,#80FF00,55,188,111,4,Green    ,Cyan     ,0.45,0.05,0.22,0.11,0.12,0.15,0.52,0.53,0.64,0.53,0.53,0.81,0.35,0.36
571290e28820b,objTwoColors,#80FF00,50,196,80,5,Green    ,LI-Blue  ,0.52,0.04,0.2,0.12,0.14,0.18,0.58,0.59,0.68,0.59,0.59,0.86,0.38,0.38
5712c2b021f58,objTwoColors,#80FF00,182,58,147,5,Blue     ,Green    ,0.29,0.05,0.16,0.1,0.1,0.13,0.07,0.07,0.08,0.07,0.07,0.27,0.64,0.65
5712c57f97f25,objTwoColors,#80FF00,115,65,159,4,Green    ,Yellow   ,0.04,0,0.31,0.05,0.01,0.02,0.26,0.27,0.4,0.28,0.27,0.57,0.65,0.65
5712d9bc0cae3,objTwoColors,#80FF00,107,94,545,5,Green    ,Green    ,0.13,0.03,0.31,0.07,0.04,0.07,0.35,0.36,0.49,0.37,0.36,0.67,0.66,0.65
5713923c1bbc7,objTwoColors,#80FF00,172,204,217,2,Green    ,Navy-Blue,0.62,0.31,0.25,0.25,0.3,0.32,0.4,0.42,0.51,0.41,0.42,0.71,0.6,0.6
5713b10383207,objTwoColors,#80FF00,211,58,98,4,Blue     ,Green    ,0.47,0.04,0.24,0.15,0.17,0.21,0.24,0.24,0.15,0.24,0.24,0.09,0.72,0.73
5713dd915ca28,objTwoColors,#80FF00,190,57,207,2,Sky-Blue ,Green    ,0.34,0.04,0.16,0.11,0.12,0.15,0.11,0.11,0.03,0.11,0.11,0.22,0.65,0.66
5713fc80c942a,objTwoColors,#80FF00,63,179,270,5,Green    ,Blue     ,0.38,0.05,0.24,0.11,0.1,0.12,0.48,0.48,0.58,0.49,0.48,0.77,0.33,0.34
5715ea836193d,objTwoColors,#80FF00,189,58,363,1,Cyan     ,Green    ,0.33,0.04,0.16,0.11,0.11,0.15,0.11,0.11,0.05,0.11,0.11,0.23,0.65,0.66
5716e9900f6ea,objTwoColors,#80FF00,58,188,143,4,Green    ,Cyan     ,0.44,0.04,0.23,0.11,0.11,0.15,0.52,0.53,0.63,0.53,0.53,0.81,0.36,0.37
57190633f233f,objTwoColors,#80FF00,62,200,328,4,Green    ,Navy-Blue,0.49,0.04,0.24,0.14,0.14,0.17,0.59,0.59,0.69,0.6,0.59,0.88,0.45,0.46
5734779e28d4b,objTwoColors,#80FF00,88,89,235,4,Green    ,Green    ,0.14,0,0.28,0.07,0.02,0.04,0.33,0.33,0.47,0.34,0.33,0.64,0.6,0.61
5734918f46823,objTwoColors,#80FF00,54,197,115,2,Green    ,LI-Blue  ,0.5,0.04,0.21,0.13,0.14,0.17,0.58,0.58,0.68,0.59,0.58,0.86,0.4,0.41
5735d3455a84c,objTwoColors,#80FF00,50,212,217,3,Green    ,Blue     ,0.61,0.04,0.2,0.14,0.19,0.22,0.67,0.68,0.77,0.68,0.68,0.95,0.48,0.48
5736048bb110b,objTwoColors,#80FF00,98,115,131,5,Green    ,Green    ,0.15,0.04,0.3,0.08,0.04,0.07,0.38,0.39,0.52,0.4,0.39,0.69,0.65,0.66
573634984323e,objTwoColors,#80FF00,57,114,247,4,Green    ,Green    ,0.29,0.01,0.21,0.04,0.01,0.01,0.37,0.38,0.5,0.39,0.38,0.66,0.51,0.52
57366c199283c,objTwoColors,#80FF00,48,184,92,3,Green    ,Blue     ,0.46,0.04,0.19,0.1,0.12,0.15,0.52,0.52,0.62,0.53,0.52,0.79,0.3,0.3
5738cf3d97a58,objTwoColors,#80FF00,142,77,383,3,Green    ,Yellow   ,0.12,0.04,0.28,0.08,0.04,0.05,0.25,0.25,0.39,0.26,0.25,0.57,0.63,0.63
57410611290e3,objTwoColors,#80FF00,55,186,74,5,Green    ,Cyan     ,0.44,0.05,0.22,0.1,0.11,0.14,0.51,0.52,0.63,0.52,0.52,0.8,0.34,0.35
57427cf6bad0c,objTwoColors,#80FF00,173,56,198,3,Green    ,Green    ,0.24,0.04,0.18,0.1,0.1,0.11,0.02,0.03,0.12,0.02,0.03,0.32,0.63,0.63
574297edae49c,objTwoColors,#80FF00,139,62,299,3,Green    ,Green    ,0.05,0.03,0.29,0.06,0.03,0.03,0.21,0.21,0.34,0.23,0.21,0.52,0.64,0.64
574511e99b6d9,objTwoColors,#80FF00,59,190,144,4,Green    ,Sky-Blue ,0.44,0.04,0.23,0.12,0.12,0.15,0.53,0.54,0.64,0.54,0.54,0.82,0.38,0.38
5745350dc1e22,objTwoColors,#80FF00,181,57,178,4,Blue     ,Green    ,0.29,0.05,0.16,0.1,0.1,0.13,0.06,0.06,0.08,0.06,0.06,0.28,0.64,0.64
5745500f6e643,objTwoColors,#80FF00,89,52,454,2,Green    ,Green    ,0.06,0.07,0.28,0.05,0.04,0.03,0.25,0.25,0.34,0.24,0.25,0.57,0.62,0.61
57459c393bbd0,objTwoColors,#80FF00,195,65,435,4,Sky-Blue ,Yellow   ,0.38,0.04,0.17,0.14,0.12,0.16,0.15,0.16,0.08,0.17,0.16,0.2,0.67,0.66
5745c1c07cc0c,objTwoColors,#80FF00,113,50,305,4,Green    ,Green    ,0.06,0.03,0.31,0.04,0.01,0.02,0.28,0.28,0.35,0.27,0.28,0.59,0.66,0.67
