Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.31,0.54,0.05,0.3,0.32,0.16,0.34,0.4,0.03,0.31,0.42,0.08,0.33,0.39,0.07
Online Users (Regular),0.32,0.53,0.06,0.3,0.32,0.16,0.35,0.4,0.03,0.32,0.43,0.08,0.34,0.4,0.06
Online Users (Uncalibrated),0.47,0.39,0.25,0.4,0.35,0.16,0.44,0.37,0.12,0.42,0.36,0.17,0.44,0.34,0.15
Users aged Less Than 20 Years,0.37,0.49,0.11,0.31,0.33,0.15,0.38,0.4,0.06,0.35,0.42,0.09,0.37,0.39,0.07
Users aged Between 20 and 29 Years,0.36,0.51,0.08,0.32,0.32,0.16,0.38,0.4,0.06,0.35,0.44,0.07,0.37,0.41,0.05
Users aged Between 30 and 39 Years,0.35,0.51,0.08,0.32,0.35,0.13,0.39,0.4,0.07,0.36,0.43,0.08,0.38,0.4,0.06
Users aged Between 40 and 49 Years,0.32,0.56,0.03,0.31,0.33,0.15,0.37,0.4,0.05,0.34,0.43,0.08,0.36,0.39,0.07
Users aged Between 50 and 59 Years,0.36,0.55,0.06,0.36,0.36,0.13,0.4,0.4,0.07,0.37,0.45,0.07,0.39,0.41,0.06
Users aged Above 60 Years,0.38,0.5,0.1,0.33,0.31,0.17,0.39,0.39,0.06,0.34,0.42,0.09,0.38,0.39,0.07
Female Users,0.36,0.52,0.07,0.32,0.33,0.15,0.38,0.4,0.06,0.35,0.44,0.07,0.38,0.41,0.05
Male Users,0.36,0.5,0.09,0.32,0.32,0.16,0.38,0.4,0.06,0.35,0.43,0.08,0.37,0.4,0.06
Other Gender Users,0.3,0.6,0.02,0.35,0.35,0.13,0.37,0.39,0.05,0.32,0.4,0.11,0.35,0.35,0.11
