id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
5711703bd85fc,objTwoColors,#00FF00,62,248,139,3,Green    ,Blue     ,0.74,0.38,0.15,0.07,0.19,0.17,0.64,0.65,0.64,0.65,0.65,0.44,0.45,0.33,0.45,0.45,0.61,0.61,1.03
571171d59aaee,objTwoColors,#00FF00,68,129,675,1,Yellow   ,Green    ,0.36,0,0.14,0.06,0.06,0.1,0.25,0.26,0.28,0.27,0.26,0.33,0.33,0.44,0.33,0.33,0.54,0.55,0.67
5711800f2c5f3,objTwoColors,#00FF00,206,59,115,4,Navy-Blue,Green    ,0.2,0.02,0.14,0.04,0.08,0.09,0.43,0.45,0.39,0.46,0.45,0.65,0.66,0.67,0.66,0.66,0.7,0.71,0.11
571183866d73f,objTwoColors,#00FF00,57,219,122,5,Green    ,Blue     ,0.69,0.04,0.14,0.05,0.12,0.14,0.61,0.63,0.61,0.63,0.63,0.41,0.42,0.29,0.42,0.42,0.54,0.55,0.98
57119224388ef,objTwoColors,#00FF00,234,151,142,5,Blue     ,Teal     ,0.47,0.35,0.29,0.13,0.29,0.24,0.7,0.72,0.66,0.73,0.72,0.68,0.69,0.72,0.69,0.69,0.69,0.69,0.15
5711cbde51bb0,objTwoColors,#00FF00,217,55,106,3,Blue     ,Green    ,0.28,0.03,0.2,0.05,0.12,0.13,0.51,0.52,0.45,0.51,0.52,0.71,0.72,0.75,0.72,0.72,0.74,0.75,0.07
571214121717c,objTwoColors,#00FF00,58,248,241,5,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.17,0.66,0.66,0.65,0.66,0.66,0.46,0.46,0.34,0.46,0.46,0.59,0.6,1.03
57123bec83e8e,objTwoColors,#00FF00,113,106,191,3,Green    ,Green    ,0.38,0.02,0.21,0.05,0.08,0.14,0.16,0.17,0.26,0.18,0.17,0.25,0.25,0.42,0.25,0.25,0.66,0.67,0.69
57123e4050550,objTwoColors,#00FF00,183,61,287,4,Blue     ,Green    ,0.07,0.02,0.07,0.03,0.03,0.04,0.3,0.31,0.26,0.32,0.31,0.51,0.51,0.53,0.52,0.51,0.64,0.64,0.27
571247f66fb51,objTwoColors,#00FF00,121,93,445,5,Green    ,Green    ,0.36,0.01,0.21,0.05,0.08,0.13,0.14,0.14,0.23,0.15,0.14,0.24,0.24,0.41,0.24,0.24,0.65,0.66,0.67
571252e6d2e70,objTwoColors,#00FF00,57,214,122,5,Green    ,Blue     ,0.67,0.03,0.14,0.05,0.11,0.12,0.59,0.61,0.59,0.61,0.61,0.39,0.4,0.27,0.4,0.4,0.52,0.53,0.96
571260c120253,objTwoColors,#00FF00,213,57,96,3,Blue     ,Green    ,0.25,0.03,0.18,0.05,0.11,0.12,0.48,0.49,0.43,0.49,0.49,0.69,0.7,0.73,0.7,0.7,0.73,0.73,0.08
57127bcfaafb0,objTwoColors,#00FF00,59,186,383,5,Green    ,Cyan     ,0.51,0.02,0.14,0.02,0.04,0.04,0.42,0.44,0.44,0.44,0.44,0.21,0.22,0.16,0.22,0.22,0.36,0.36,0.8
5712c2b021f58,objTwoColors,#00FF00,59,199,126,5,Green    ,Navy-Blue,0.58,0.02,0.14,0.03,0.06,0.07,0.49,0.51,0.5,0.51,0.51,0.29,0.3,0.18,0.3,0.3,0.44,0.44,0.87
5712c57f97f25,objTwoColors,#00FF00,142,143,524,0,Green    ,Green    ,0.32,0.05,0.19,0.02,0.04,0.11,0.19,0.21,0.2,0.22,0.21,0.23,0.24,0.31,0.24,0.24,0.6,0.6,0.64
