id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,twoColorsObj,#FF0000,#00FF00,#FFFF00,152,3,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5711231e370f2,twoColorsObj,#FF0000,#00FF00,#D7A700,18,4,NA       ,0.08,0.08,0.06,0.03,0.08,0.06
571151812791a,twoColorsObj,#FF0000,#00FF00,#c9b2a2,110,2,NA       ,0.15,0.15,0.15,0.11,0.15,0.15
5713a02a13044,twoColorsObj,#FF0000,#00FF00,#808000,12,3,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
572767049ccfa,twoColorsObj,#FF0000,#00FF00,#D9FF00,201,4,NA       ,0.04,0.04,0.06,0.03,0.05,0.05
572c85675a5ef,twoColorsObj,#FF0000,#00FF00,#FFFF00,11,5,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5739ff85289b2,twoColorsObj,#FF0000,#00FF00,#998077,8,3,NA       ,0.15,0.15,0.15,0.11,0.15,0.15
573a059da0efd,twoColorsObj,#FF0000,#00FF00,#008DF8,388,3,Sky-Blue ,0.3,0.3,0.31,0.28,0.31,0.31
573a0b8280839,twoColorsObj,#FF0000,#00FF00,#998077,384,3,NA       ,0.15,0.15,0.15,0.11,0.15,0.15
573c70dabcfe0,twoColorsObj,#FF0000,#00FF00,#B000FF,304,3,NA       ,0.32,0.32,0.32,0.29,0.33,0.32
573c783748e8b,twoColorsObj,#FF0000,#00FF00,#BFBE00,656,3,NA       ,0.06,0.06,0.06,0.02,0.06,0.05
573e4022949b1,twoColorsObj,#FF0000,#00FF00,#B000FF,334,2,NA       ,0.32,0.32,0.32,0.29,0.33,0.32
573e47c26cb8e,twoColorsObj,#FF0000,#00FF00,#D9FF00,171,3,NA       ,0.04,0.04,0.06,0.03,0.05,0.05
573e4d0eb795b,twoColorsObj,#FF0000,#00FF00,#D9FF00,166,4,NA       ,0.04,0.04,0.06,0.03,0.05,0.05
573edae85268b,twoColorsObj,#FF0000,#00FF00,#B000FF,1140,2,NA       ,0.32,0.32,0.32,0.29,0.33,0.32
5740a8b59d448,twoColorsObj,#FF0000,#00FF00,#978900,905,3,NA       ,0.06,0.06,0.05,0.02,0.06,0.05
5740ad339507d,twoColorsObj,#FF0000,#00FF00,#D9FF00,273,3,NA       ,0.04,0.04,0.06,0.03,0.05,0.05
5740b0f8e9734,twoColorsObj,#FF0000,#00FF00,#9C0083,821,3,NA       ,0.25,0.25,0.24,0.2,0.25,0.24
5740b686127bb,twoColorsObj,#FF0000,#00FF00,#978900,120,4,NA       ,0.06,0.06,0.05,0.02,0.06,0.05
5740bda9be3dc,twoColorsObj,#FF0000,#00FF00,#998077,314,5,NA       ,0.15,0.15,0.15,0.11,0.15,0.15
5740e3f36a945,twoColorsObj,#FF0000,#00FF00,#006C84,458,1,Cyan     ,0.23,0.23,0.25,0.22,0.24,0.25
574859b8f3379,twoColorsObj,#FF0000,#00FF00,#BFBE00,754,4,NA       ,0.06,0.06,0.06,0.02,0.06,0.05
5756ab1701ba0,twoColorsObj,#FF0000,#00FF00,#768F00,105,3,NA       ,0.04,0.04,0.07,0.04,0.05,0.05
5756ae6897296,twoColorsObj,#FF0000,#00FF00,#978900,206,5,NA       ,0.06,0.06,0.05,0.02,0.06,0.05
5756b2d9bd658,twoColorsObj,#FF0000,#00FF00,#998077,249,4,NA       ,0.15,0.15,0.15,0.11,0.15,0.15
5757fd2703090,twoColorsObj,#FF0000,#00FF00,#FFFFFF,99,1,NA       ,0.16,0.16,0.17,0.14,0.17,0.17
5757ffca0b4b1,twoColorsObj,#FF0000,#00FF00,#FF6700,109,2,NA       ,0.15,0.15,0.1,0.09,0.14,0.12
57581518c2c07,twoColorsObj,#FF0000,#00FF00,#430096,76,3,NA       ,0.36,0.36,0.37,0.33,0.37,0.37
57582b17cd76a,twoColorsObj,#FF0000,#00FF00,#AF0049,724,2,NA       ,0.19,0.19,0.16,0.14,0.19,0.17
